first,system:index,lat,lon
1.7799245203721568E-5,0,-8.625,113.375
2.7922158813811163E-5,1,-8.625,113.625
1.477439395890139E-5,2,-8.375,110.875
1.1254512461427376E-5,3,-8.375,111.125
8.528420583705884E-6,4,-8.375,111.375
8.256452501228914E-6,5,-8.375,111.625
8.67517948536215E-6,6,-8.375,111.875
1.1562153191389594E-5,7,-8.375,112.125
1.2771733453921003E-5,8,-8.375,112.375
,9,-8.375,112.625
,10,-8.375,112.875
7.723212325795423E-6,11,-8.375,113.125
5.191734527051332E-6,12,-8.375,113.375
5.191734670150496E-6,13,-8.375,113.625
1.3559560587285082E-5,14,-8.125,110.125
,15,-8.125,110.375
8.951392746437802E-6,16,-8.125,110.625
2.0934760125844138E-5,17,-8.125,110.875
1.817978174362625E-6,18,-8.125,111.125
,19,-8.125,111.375
,20,-8.125,111.625
,21,-8.125,111.875
,22,-8.125,112.125
,23,-8.125,112.375
1.752399840686721E-5,24,-8.125,112.625
2.526824859365192E-5,25,-8.125,112.875
6.760478273491108E-6,26,-8.125,113.125
,27,-8.125,113.375
,28,-8.125,113.625
,29,-7.875,108.125
2.839813812946917E-6,30,-7.875,108.375
9.614373649656817E-6,31,-7.875,108.625
1.6580161791008047E-6,32,-7.875,108.875
8.548649381696098E-6,33,-7.875,109.125
1.0226177407975094E-5,34,-7.875,109.375
1.315250827511705E-5,35,-7.875,109.625
1.4199915613933379E-5,36,-7.875,109.875
6.633662697285023E-6,37,-7.875,110.125
1.1316869782563215E-5,38,-7.875,110.375
6.913754555812175E-6,39,-7.875,110.625
,40,-7.875,110.875
8.384354240174301E-6,41,-7.875,111.125
1.4401676019294703E-5,42,-7.875,111.375
,43,-7.875,111.625
,44,-7.875,111.875
,45,-7.875,112.125
,46,-7.875,112.375
,47,-7.875,112.625
,48,-7.875,112.875
2.2652449962522983E-5,49,-7.875,113.125
2.1996638450492816E-5,50,-7.875,113.375
7.64943528648276E-5,51,-7.875,113.625
,52,-7.625,107.375
,53,-7.625,107.625
,54,-7.625,107.875
,55,-7.625,108.125
,56,-7.625,108.375
,57,-7.625,108.625
,58,-7.625,108.875
1.5065716134327241E-5,59,-7.625,109.125
2.3349155130075028E-5,60,-7.625,109.375
1.3879106368695285E-5,61,-7.625,109.625
,62,-7.625,109.875
,63,-7.625,110.125
3.0216668189491615E-5,64,-7.625,110.375
1.4163010373214708E-5,65,-7.625,110.625
,66,-7.625,110.875
4.774192828299203E-6,67,-7.625,111.125
1.8271725382303E-5,68,-7.625,111.375
2.6041276412422475E-5,69,-7.625,111.625
2.780101710635429E-5,70,-7.625,111.875
3.10240321625178E-5,71,-7.625,112.125
,72,-7.625,112.375
4.544295061062509E-5,73,-7.625,112.625
3.774170581411418E-5,74,-7.625,112.875
3.3027342251252635E-5,75,-7.625,113.125
5.247926639585183E-5,76,-7.625,113.375
6.319141826064736E-5,77,-7.625,113.625
,78,-7.375,106.375
,79,-7.375,106.625
,80,-7.375,106.875
,81,-7.375,107.125
,82,-7.375,107.375
,83,-7.375,107.625
,84,-7.375,107.875
,85,-7.375,108.125
,86,-7.375,108.375
1.9603525267119258E-5,87,-7.375,108.625
,88,-7.375,108.875
,89,-7.375,109.125
1.0325987221188365E-5,90,-7.375,109.375
9.989315413036415E-6,91,-7.375,109.625
,92,-7.375,109.875
1.6261345125480494E-5,93,-7.375,110.125
,94,-7.375,110.375
1.0293209561235575E-5,95,-7.375,110.625
2.5965745804368017E-5,96,-7.375,110.875
2.4438811545736356E-5,97,-7.375,111.125
2.8687020570785152E-5,98,-7.375,111.375
1.618200903706714E-5,99,-7.375,111.625
1.837773476966863E-5,100,-7.375,111.875
1.9833013667670187E-5,101,-7.375,112.125
,102,-7.375,112.375
3.334347786354925E-5,103,-7.375,112.625
3.310579294761611E-5,104,-7.375,112.875
2.1037962270384027E-5,105,-7.375,113.125
2.793028736485338E-5,106,-7.375,113.625
7.173670517411144E-6,107,-7.125,105.625
1.4743981514832358E-5,108,-7.125,106.375
,109,-7.125,106.625
,110,-7.125,106.875
,111,-7.125,107.125
,112,-7.125,107.375
,113,-7.125,107.625
1.5845889337181245E-5,114,-7.125,107.875
,115,-7.125,108.125
,116,-7.125,108.375
1.7006117278225264E-5,117,-7.125,108.625
,118,-7.125,108.875
,119,-7.125,109.125
1.3848207194967335E-5,120,-7.125,109.375
,121,-7.125,109.625
1.4998763123479548E-5,122,-7.125,109.875
2.3695195481402207E-5,123,-7.125,110.125
1.5313196704158713E-5,124,-7.125,110.375
2.319473510690985E-5,125,-7.125,110.625
2.1242175689081556E-5,126,-7.125,110.875
2.1347803506604223E-5,127,-7.125,111.125
2.0319768896119253E-5,128,-7.125,111.375
2.0093269261651183E-5,129,-7.125,111.625
1.8462494782360117E-5,130,-7.125,111.875
2.679132154020431E-5,131,-7.125,112.125
3.472121423080139E-5,132,-7.125,112.375
3.282504626742378E-5,133,-7.125,112.625
1.4813111483849687E-5,134,-7.125,112.875
,135,-7.125,113.125
9.8615799417986E-6,136,-7.125,113.375
1.7885831259329934E-5,137,-7.125,113.625
,138,-6.875,105.125
,139,-6.875,105.375
4.636986256287301E-6,140,-6.875,105.625
,141,-6.875,105.875
-1.1273534465665283E-5,142,-6.875,106.125
-1.199129394437644E-6,143,-6.875,106.375
,144,-6.875,106.625
,145,-6.875,106.875
,146,-6.875,107.125
,147,-6.875,107.375
,148,-6.875,107.625
1.5845889589573573E-5,149,-6.875,107.875
6.822518312272135E-6,150,-6.875,108.125
,151,-6.875,108.375
1.5848838659949526E-5,152,-6.875,108.625
2.259789165485661E-5,153,-6.875,108.875
,154,-6.875,109.125
2.2246648264258087E-5,155,-6.875,109.375
3.332810299020628E-5,156,-6.875,109.625
2.553555325153416E-5,157,-6.875,109.875
2.4346183625592074E-5,158,-6.875,110.125
2.8260449894388654E-5,159,-6.875,110.375
2.7764907307600626E-5,160,-6.875,110.625
1.9459352843838658E-5,161,-6.875,110.875
2.2977744626672656E-5,162,-6.875,111.125
1.8091813171279017E-5,163,-6.875,111.375
1.6632918587669826E-5,164,-6.875,111.625
3.662370610816365E-5,165,-6.875,111.875
3.5083648872011246E-5,166,-6.875,112.125
4.040131529980815E-5,167,-6.875,112.375
2.489038776705015E-5,168,-6.875,112.625
2.643123570012192E-5,169,-6.875,112.875
,170,-6.875,113.125
2.0315796131618747E-5,171,-6.875,113.375
,172,-6.875,113.625
2.2356736366910367E-5,173,-6.625,105.125
,174,-6.625,105.375
,175,-6.625,105.625
,176,-6.625,105.875
,177,-6.625,106.125
,178,-6.625,106.375
,179,-6.625,106.625
,180,-6.625,106.875
,181,-6.625,107.125
,182,-6.625,107.375
,183,-6.625,107.625
,184,-6.625,107.875
3.340080620339146E-5,185,-6.625,108.125
2.7575249225350087E-5,186,-6.625,108.375
1.9915920389611132E-5,187,-6.625,108.625
1.2756107324782018E-5,188,-6.625,108.875
3.0307945462801944E-5,189,-6.625,110.625
2.3131549388653517E-5,190,-6.625,110.875
2.2130430149439878E-5,191,-6.625,111.125
2.9456806590169696E-5,192,-6.625,111.375
2.0331292261073445E-5,193,-6.625,111.625
,194,-6.375,105.625
,195,-6.375,105.875
,196,-6.375,106.125
,197,-6.375,106.375
,198,-6.375,106.625
,199,-6.375,106.875
6.400938601479893E-5,200,-6.375,107.125
7.119348416866766E-5,201,-6.375,107.375
,202,-6.375,107.625
,203,-6.375,107.875
1.8612150378825722E-5,204,-6.375,108.125
2.013969419123098E-5,205,-6.375,108.375
1.8342822235948556E-5,206,-6.375,108.625
4.190397046167692E-5,207,-6.375,110.625
2.2450072154240075E-5,208,-6.375,110.875
1.8038216932193765E-5,209,-6.375,111.125
,210,-6.125,105.375
,211,-6.125,105.875
,212,-6.125,106.125
,213,-6.125,106.375
3.757770776791429E-5,214,-6.125,106.625
6.129119472149996E-5,215,-6.125,106.875
3.6902596969409933E-5,216,-6.125,107.125
3.2420561226392905E-5,217,-6.125,107.375
1.4042519319535443E-5,218,-6.125,107.625
2.834055687859678E-5,219,-6.125,107.875
6.007425534312164E-6,220,-6.125,108.125
1.3745119303614842E-5,221,-6.125,108.375
,222,-5.875,104.375
,223,-5.875,104.625
,224,-5.875,104.875
,225,-5.875,105.125
,226,-5.875,105.375
,227,-5.875,105.625
,228,-5.875,105.875
,229,-5.875,106.125
,230,-5.875,106.375
2.3998034424250796E-5,231,-5.875,106.625
2.19347561270684E-5,232,-5.875,106.875
1.615881082286652E-5,233,-5.875,107.125
1.7509303488533805E-5,234,-5.875,107.375
1.169919826642654E-5,235,-5.875,110.125
9.795319872685523E-6,236,-5.875,110.375
1.154387042228337E-5,237,-5.875,110.625
7.1975663981635305E-6,238,-5.875,112.625
4.804473325106326E-6,239,-5.875,112.875
,240,-5.625,104.125
,241,-5.625,104.375
,242,-5.625,104.625
,243,-5.625,104.875
,244,-5.625,105.125
,245,-5.625,105.375
,246,-5.625,105.625
,247,-5.625,105.875
1.3126269564549076E-5,248,-5.625,106.625
1.1624502599679058E-5,249,-5.625,110.125
1.1315201840996032E-5,250,-5.625,110.375
5.094765449268271E-6,251,-5.625,112.625
,252,-5.375,102.125
,253,-5.375,102.375
,254,-5.375,103.875
,255,-5.375,104.125
,256,-5.375,104.375
,257,-5.375,104.625
,258,-5.375,104.875
,259,-5.375,105.125
1.4861778727544102E-5,260,-5.375,105.375
1.8822200405292317E-5,261,-5.375,105.625
1.2865524712222173E-5,262,-5.375,105.875
1.6108266282316847E-5,263,-5.375,106.375
,264,-5.375,106.625
,265,-5.125,103.625
,266,-5.125,103.875
,267,-5.125,104.125
,268,-5.125,104.375
,269,-5.125,104.625
,270,-5.125,104.875
7.4562239329775165E-6,271,-5.125,105.125
1.0256557489180814E-5,272,-5.125,105.375
1.466244195455817E-5,273,-5.125,105.625
1.2178673854036248E-5,274,-5.125,105.875
1.3951704832962763E-5,275,-5.125,106.125
1.3764892551532546E-5,276,-5.125,106.375
,277,-4.875,103.375
,278,-4.875,103.625
,279,-4.875,103.875
,280,-4.875,104.125
,281,-4.875,104.375
,282,-4.875,104.625
,283,-4.875,104.875
,284,-4.875,105.125
1.2796420306501377E-5,285,-4.875,105.375
1.7396630052505168E-5,286,-4.875,105.625
