first,system:index,SHAPE_Length,ENGTYPE_4,Join_Count,NAME_2,NAME_3,SHAPE_Area,TARGET_FID,NAME_0,NAME_1,OID_,NAME_4,Centroid_Y,GID_0,Centroid_X
1.2629278510332183E-5,0,1,Village,1,Jember,Puger,0.0625,7391,Indonesia,Jawa Timur,7391,Puger Kulon,-8.624999999999943,IDN,113.37500000000011
1.1675575079985727E-5,1,1,Village,2,Jember,Tempurejo,0.0625,7392,Indonesia,Jawa Timur,7392,Andongrejo,-8.624999999999943,IDN,113.62500000000011
,2,1,Village,1,Pacitan,Pringkuku,0.0625,7549,Indonesia,Jawa Timur,7549,Candi,-8.374999999999943,IDN,110.87500000000004
,3,1,Village,11,Pacitan,Kebonagung,0.0625,7550,Indonesia,Jawa Timur,7550,Kalipelus,-8.374999999999943,IDN,111.12500000000004
,4,1,Village,15,Pacitan,Ngadirojo,0.0625,7551,Indonesia,Jawa Timur,7551,Hadiwarno,-8.374999999999943,IDN,111.37500000000004
,5,1,Village,28,Trenggalek,Dongko,0.0625,7552,Indonesia,Jawa Timur,7552,Pandean,-8.374999999999943,IDN,111.62500000000004
,6,1.000000000000114,Village,13,Trenggalek,Watulimo,0.062500000000014,7553,Indonesia,Jawa Timur,7553,Tasikmadu,-8.374999999999943,IDN,111.87500000000009
8.143283594239665E-6,7,1,Village,26,Blitar,Bakung,0.0625,7554,Indonesia,Jawa Timur,7554,Bakung,-8.374999999999943,IDN,112.12500000000011
8.631745506743074E-6,8,1,Village,35,Blitar,Binangun,0.0625,7555,Indonesia,Jawa Timur,7555,Binangun,-8.374999999999943,IDN,112.37500000000011
4.479071267477357E-6,9,1,Village,39,Malang,Bantur,0.0625,7556,Indonesia,Jawa Timur,7556,Bandungrejo,-8.374999999999943,IDN,112.62500000000011
9.770737578235079E-6,10,1,Village,31,Lumajang,Pronojiwo,0.0625,7557,Indonesia,Jawa Timur,7557,Sidomulyo,-8.374999999999943,IDN,112.87500000000011
1.515587630287862E-5,11,1,Village,19,Lumajang,Candipuro,0.0625,7558,Indonesia,Jawa Timur,7558,Jugosari,-8.374999999999943,IDN,113.12500000000011
1.7463036382561306E-5,12,1,Village,48,Jember,Balung,0.0625,7559,Indonesia,Jawa Timur,7559,Karang Duren,-8.374999999999943,IDN,113.37500000000011
,13,1,Village,52,Jember,Ajung,0.0625,7560,Indonesia,Jawa Timur,7560,Mangaran,-8.374999999999943,IDN,113.62500000000011
1.8521092388595754E-5,14,1,Village,1,Bantul,Sanden,0.0625,7714,Indonesia,Yogyakarta,7714,Gadingsari,-8.124999999999943,IDN,110.12500000000004
,15,1,Village,23,Bantul,Kretek,0.0625,7715,Indonesia,Yogyakarta,7715,Donotirto,-8.124999999999943,IDN,110.37500000000004
9.956286445785981E-6,16,1,Village,48,Gunung Kidul,Girisubo,0.0625,7716,Indonesia,Yogyakarta,7716,Balong,-8.124999999999943,IDN,110.62500000000004
,17,1,Village,97,Wonogiri,Baturetno,0.0625,7717,Indonesia,Jawa Tengah,7717,Balepanjang,-8.124999999999943,IDN,110.87500000000004
,18,1,Village,114,Wonogiri,Batuwarno,0.0625,7718,Indonesia,Jawa Tengah,7718,Batuwarno,-8.124999999999943,IDN,111.12500000000004
,19,1,Village,117,Pacitan,Bandar,0.0625,7719,Indonesia,Jawa Timur,7719,Bandar,-8.124999999999943,IDN,111.37500000000004
,20,1,Village,128,Ponorogo,Ngrayun,0.0625,7720,Indonesia,Jawa Timur,7720,Cepoko,-8.124999999999943,IDN,111.62500000000004
,21,1.000000000000114,Village,264,Blitar,Udanawu,0.062500000000014,7721,Indonesia,Jawa Timur,7721,Besuki,-8.124999999999943,IDN,111.87500000000009
1.0522664218265298E-5,22,1,Village,187,Blitar,Bakung,0.0625,7722,Indonesia,Jawa Timur,7722,Kedungbanteng,-8.124999999999943,IDN,112.12500000000011
1.1419577281677624E-5,23,1,Village,146,Blitar,Binangun,0.0625,7723,Indonesia,Jawa Timur,7723,Binangun,-8.124999999999943,IDN,112.37500000000011
1.153102864049721E-5,24,1,Urban Community,196,Kota Malang,Kedungkandang,0.0625,7724,Indonesia,Jawa Timur,7724,Arjowinangun,-8.124999999999943,IDN,112.62500000000011
1.4684968346714297E-5,25,1,Village,75,Lumajang,Candipuro,0.0625,7725,Indonesia,Jawa Timur,7725,Sumbermujur,-8.124999999999943,IDN,112.87500000000011
,26,1,Village,138,Lumajang,Candipuro,0.0625,7726,Indonesia,Jawa Timur,7726,Candipuro,-8.124999999999943,IDN,113.12500000000011
,27,1,Village,111,Jember,Bangsalsari,0.0625,7727,Indonesia,Jawa Timur,7727,Curah Kalong,-8.124999999999943,IDN,113.37500000000011
,28,1,Village,92,Bondowoso,Grujugan,0.0625,7728,Indonesia,Jawa Timur,7728,Sumberpandan,-8.124999999999943,IDN,113.62500000000011
,29,1,Village,15,Tasikmalaya,Cikalong,0.0625,7874,Indonesia,Jawa Barat,7874,Cikadu,-7.874999999999943,IDN,108.12500000000004
,30,1,Village,18,Ciamis,Cijulang,0.0625,7875,Indonesia,Jawa Barat,7875,Batukaras,-7.874999999999943,IDN,108.37500000000004
,31,1,Village,2,Ciamis,Cijulang,0.0625,7876,Indonesia,Jawa Barat,7876,Batukaras,-7.874999999999943,IDN,108.62500000000004
,32,1,Village,1,Cilacap,Cilacap Selatan,0.0625,7877,Indonesia,Jawa Tengah,7877,Tambakreja,-7.874999999999943,IDN,108.87500000000004
1.699666664989156E-5,33,1,Village,2,Cilacap,Cilacap Selatan,0.0625,7878,Indonesia,Jawa Tengah,7878,Cilacap,-7.874999999999943,IDN,109.12500000000004
-8.510637591859893E-7,34,1,Village,9,Kebumen,Ayah,0.0625,7879,Indonesia,Jawa Tengah,7879,Argopeni,-7.874999999999943,IDN,109.37500000000004
2.262280561556571E-5,35,1,Village,54,Kebumen,Ambal,0.0625,7880,Indonesia,Jawa Tengah,7880,Ambalkebrek,-7.874999999999943,IDN,109.62500000000004
1.8945529386784886E-5,36,1,Village,215,Kebumen,Ambal,0.0625,7881,Indonesia,Jawa Tengah,7881,Ambarwinangun,-7.874999999999943,IDN,109.87500000000004
1.0998739560331599E-5,37,1,Village,145,Purworejo,Bagelen,0.0625,7882,Indonesia,Jawa Tengah,7882,Bagelen,-7.874999999999943,IDN,110.12500000000004
,38,1,Village,182,Klaten,Prambanan,0.0625,7883,Indonesia,Jawa Tengah,7883,Kebon Dalem Kidul,-7.874999999999943,IDN,110.37500000000004
,39,1,Village,197,Klaten,Bayat,0.0625,7884,Indonesia,Jawa Tengah,7884,Banyuripan,-7.874999999999943,IDN,110.62500000000004
,40,1,Village,139,Karanganyar,Jatipuro,0.0625,7885,Indonesia,Jawa Tengah,7885,Jatipuro,-7.874999999999943,IDN,110.87500000000004
,41,1,Village,171,Karanganyar,Jatipuro,0.0625,7886,Indonesia,Jawa Tengah,7886,Jatipuro,-7.874999999999943,IDN,111.12500000000004
,42,1,Village,259,Wonogiri,Bulukerto,0.0625,7887,Indonesia,Jawa Tengah,7887,Bulukerto,-7.874999999999943,IDN,111.37500000000004
2.6466275832512427E-5,43,1,Village,160,Madiun,Dagangan,0.0625,7888,Indonesia,Jawa Timur,7888,Hutan,-7.874999999999943,IDN,111.62500000000004
1.5710453244420088E-5,44,1.000000000000114,Village,155,Blitar,Udanawu,0.062500000000014,7889,Indonesia,Jawa Timur,7889,Besuki,-7.874999999999943,IDN,111.87500000000009
1.8901518264374475E-5,45,1,Village,231,Blitar,Nglegok,0.0625,7890,Indonesia,Jawa Timur,7890,Hutan Sumber Asri,-7.874999999999943,IDN,112.12500000000011
,46,1,Urban Community,85,Batu,Batu,0.0625,7891,Indonesia,Jawa Timur,7891,Hutan,-7.874999999999943,IDN,112.37500000000011
2.0967958660415334E-5,47,1,Urban Community,186,Batu,Batu,0.0625,7892,Indonesia,Jawa Timur,7892,Hutan,-7.874999999999943,IDN,112.62500000000011
2.7473866467910624E-5,48,1,Village,120,Lumajang,Senduro,0.0625,7893,Indonesia,Jawa Timur,7893,Argosari,-7.874999999999943,IDN,112.87500000000011
2.01795500541538E-5,49,1,Urban Community,166,Kota Probolinggo,Kademangan,0.0625,7894,Indonesia,Jawa Timur,7894,Kademangan,-7.874999999999943,IDN,113.12500000000011
2.761385526593407E-5,50,1,Village,205,Jember,Sumber Baru,0.0625,7895,Indonesia,Jawa Timur,7895,Jambesari,-7.874999999999943,IDN,113.37500000000011
9.072779632578411E-5,51,1,Village,117,Bondowoso,Binakal,0.0625,7896,Indonesia,Jawa Timur,7896,Gadingsari,-7.874999999999943,IDN,113.62500000000011
,52,1,Village,7,Cianjur,Cidaun,0.0625,8039,Indonesia,Jawa Barat,8039,Cidamar,-7.624999999999943,IDN,107.37500000000004
,53,1,Village,35,Garut,Bungbulang,0.0625,8040,Indonesia,Jawa Barat,8040,Gunamekar,-7.624999999999943,IDN,107.62500000000004
,54,1,Village,57,Garut,Cibalong,0.0625,8041,Indonesia,Jawa Barat,8041,Cigaronggong,-7.624999999999943,IDN,107.87500000000004
,55,1,Village,90,Tasikmalaya,Bantarkalong,0.0625,8042,Indonesia,Jawa Barat,8042,Hegarwangi,-7.624999999999943,IDN,108.12500000000004
