first,system:index,Country,lon,Code,lat
7.916794704839313E-6,116,Indonesia,120.125,IDN,-4.375
,117,Indonesia,103.625,IDN,0.125
,118,Myanmar,98.625,MMR,23.375
,119,Vietnam,105.375,VNM,18.375
2.6633870937359203E-5,120,Thailand,102.125,THA,17.625
2.5144371580945102E-5,121,Thailand,101.625,THA,17.875
,122,Laos,101.125,LAO,20.875
1.6630239800976864E-5,123,Laos,102.375,LAO,19.625
,124,Vietnam,105.375,VNM,10.375
2.5005858375569912E-5,125,Philippines,121.375,PHL,13.875
1.3281027507188429E-5,126,Indonesia,102.875,IDN,-3.625
1.2243970886320402E-6,127,Indonesia,116.875,IDN,-0.375
1.396318972816015E-5,128,Myanmar,95.625,MMR,26.375
1.537120029553206E-5,129,Laos,103.625,LAO,19.625
1.0646260512887493E-5,130,Myanmar,93.125,MMR,21.125
1.0711376132884528E-5,131,Myanmar,99.125,MMR,12.375
,132,Indonesia,96.625,IDN,4.125
2.7844328344101934E-5,133,Thailand,102.125,THA,17.875
1.1135632320653425E-6,134,Indonesia,137.125,IDN,-2.375
1.5447244114816136E-5,135,Myanmar,95.125,MMR,20.375
5.957345455707751E-5,136,Thailand,100.875,THA,13.875
,137,Indonesia,116.375,IDN,1.125
2.6058056374027442E-5,138,Thailand,104.875,THA,14.875
1.546879479689031E-5,139,Vietnam,103.625,VNM,20.875
,140,Indonesia,139.875,IDN,-3.875
,141,Indonesia,138.125,IDN,-7.875
,142,Philippines,122.625,PHL,11.375
,143,Philippines,124.875,PHL,12.375
3.4972147688939488E-6,144,Indonesia,110.125,IDN,-1.625
1.7599419463252478E-5,145,Myanmar,95.625,MMR,25.125
,146,Indonesia,110.125,IDN,0.625
,147,Myanmar,97.125,MMR,22.875
1.5936095150348424E-5,148,Laos,103.375,LAO,20.375
1.8954309724108904E-5,149,Thailand,98.875,THA,17.625
,150,Indonesia,110.125,IDN,1.125
1.4052472104950294E-6,151,Indonesia,134.375,IDN,-3.125
,152,Cambodia,105.125,KHM,12.875
,153,Vietnam,105.125,VNM,21.625
-1.1551608894907305E-6,154,Indonesia,139.125,IDN,-7.375
-1.3319447928266973E-6,155,Indonesia,140.875,IDN,-7.125
,156,Indonesia,111.625,IDN,-8.125
,157,Indonesia,97.125,IDN,4.625
,158,Indonesia,111.625,IDN,0.125
8.667541171906174E-6,159,Myanmar,94.625,MMR,19.375
7.109206835745871E-6,160,Indonesia,126.625,IDN,-7.625
1.22750275704892E-5,161,Indonesia,121.875,IDN,-8.625
7.625998675846564E-6,162,Indonesia,110.375,IDN,-2.625
1.8466541738483377E-5,163,Myanmar,96.875,MMR,18.625
1.6547913576306794E-5,164,Myanmar,97.625,MMR,18.125
,165,Indonesia,101.125,IDN,-1.375
2.503195135958107E-5,166,Thailand,102.375,THA,16.625
,167,Malaysia,113.875,MYS,2.125
1.0475117940105375E-5,168,Myanmar,98.375,MMR,27.125
4.1991397606712876E-6,169,Thailand,98.625,THA,9.125
3.1508811951189305E-5,170,Thailand,99.625,THA,19.375
1.1572375337898692E-4,171,Thailand,100.625,THA,13.625
1.3240906815636732E-6,172,Indonesia,137.875,IDN,-4.875
1.4681401912317098E-5,173,Thailand,99.875,THA,12.375
,174,Thailand,101.125,THA,6.375
,175,Malaysia,100.625,MYS,6.375
-9.091828153922949E-7,176,Philippines,123.125,PHL,8.375
3.442057151851474E-6,177,Indonesia,139.375,IDN,-3.625
,178,Indonesia,115.125,IDN,2.375
,179,Indonesia,99.875,IDN,1.125
,180,Malaysia,103.375,MYS,3.625
,181,Cambodia,105.625,KHM,12.125
,182,Vietnam,109.125,VNM,14.125
,183,Philippines,124.375,PHL,13.875
,184,Vietnam,103.375,VNM,22.375
2.654669080513846E-5,185,Myanmar,96.125,MMR,17.125
1.891727726350266E-5,186,Myanmar,96.875,MMR,20.625
2.43864448631506E-5,187,Myanmar,94.875,MMR,19.125
4.62393868016651E-5,188,Thailand,99.375,THA,18.375
,189,Vietnam,108.875,VNM,13.875
3.0692473212424833E-6,190,Indonesia,139.125,IDN,-3.375
,191,Malaysia,114.125,MYS,2.375
2.2407150372779574E-5,192,Myanmar,95.375,MMR,18.875
2.224561126753132E-6,193,Indonesia,138.125,IDN,-3.875
1.3604198876748495E-5,194,Malaysia,116.125,MYS,5.875
,195,Indonesia,106.875,IDN,-7.125
,196,Indonesia,108.125,IDN,-7.375
,197,Indonesia,102.125,IDN,-2.375
4.288196702782034E-6,198,Indonesia,114.125,IDN,0.125
1.5452340170773624E-6,199,Indonesia,115.875,IDN,-0.375
2.723630119795139E-5,200,Thailand,102.625,THA,16.125
1.5250581461017384E-6,201,Indonesia,124.125,IDN,-10.125
2.440600000188191E-5,202,Myanmar,98.875,MMR,23.625
,203,Vietnam,103.375,VNM,22.125
,204,Philippines,124.875,PHL,8.625
2.1382077741333654E-5,205,Thailand,100.375,THA,7.375
,206,Indonesia,110.625,IDN,0.375
,207,Indonesia,140.125,IDN,-4.125
,208,Indonesia,106.375,IDN,-6.625
4.631856785606012E-6,209,Indonesia,139.125,IDN,-3.875
,210,Indonesia,102.125,IDN,1.125
3.751163290267336E-5,211,Vietnam,107.625,VNM,11.625
9.179345071798258E-6,212,Indonesia,116.625,IDN,3.875
1.1688080208896208E-5,213,Indonesia,102.625,IDN,0.125
,214,Malaysia,102.875,MYS,4.625
2.3587592996715798E-5,215,Myanmar,96.875,MMR,22.125
7.261153959286632E-6,216,Myanmar,93.625,MMR,21.125
1.1467792874689267E-6,217,Indonesia,133.375,IDN,-0.875
,218,Indonesia,99.625,IDN,1.875
,219,Vietnam,105.875,VNM,9.875
,220,Indonesia,122.125,IDN,0.875
1.615319705213138E-5,221,Malaysia,103.875,MYS,1.875
7.40124646492513E-6,222,Myanmar,98.125,MMR,27.625
1.6661389812420087E-5,223,Thailand,99.125,THA,15.875
,224,Laos,101.125,LAO,21.125
,225,Indonesia,120.625,IDN,-8.625
,226,Indonesia,112.625,IDN,-7.375
,227,Indonesia,122.625,IDN,0.625
3.789175565855418E-5,228,Myanmar,96.375,MMR,21.625
,229,Indonesia,116.375,IDN,-8.875
,230,Indonesia,110.625,IDN,0.625
2.5190195145981942E-5,231,Laos,103.125,LAO,19.625
2.6865798918298304E-6,232,Indonesia,133.875,IDN,-2.125
,233,Indonesia,130.125,IDN,-3.125
1.1550582194554298E-5,234,Indonesia,102.375,IDN,-3.375
,235,Vietnam,105.625,VNM,10.625
2.2262079746486312E-5,236,Myanmar,96.625,MMR,16.625
3.158516374142199E-6,237,Indonesia,114.875,IDN,0.375
2.0879571744295142E-5,238,Thailand,104.375,THA,16.125
3.869990136672616E-5,239,Cambodia,103.625,KHM,12.125
,240,Philippines,120.375,PHL,16.625
3.304793362335929E-5,241,Thailand,101.625,THA,15.125
1.529942098211128E-5,242,Myanmar,92.875,MMR,20.875
,243,Indonesia,112.875,IDN,0.625
,244,Indonesia,107.625,IDN,-6.375
,245,Indonesia,114.375,IDN,-3.125
1.374026180549278E-5,246,Myanmar,98.875,MMR,12.625
1.7255071876464653E-5,247,Malaysia,116.375,MYS,6.125
2.748028830895475E-5,248,Thailand,100.625,THA,17.875
2.3014028749281896E-5,249,Myanmar,96.125,MMR,21.125
1.6610085473087465E-5,250,Myanmar,97.875,MMR,21.625
-2.067051619092031E-6,251,Indonesia,138.875,IDN,-5.125
3.2803938498131006E-5,252,Cambodia,102.875,KHM,13.625
1.3428062320481069E-5,253,Myanmar,94.375,MMR,18.625
,254,Indonesia,109.375,IDN,0.875
,255,Indonesia,119.625,IDN,-3.375
,256,Vietnam,104.875,VNM,22.625
,257,Indonesia,132.125,IDN,-0.625
,258,Myanmar,98.125,MMR,23.875
3.367093510602598E-5,259,Cambodia,102.625,KHM,13.125
,260,Indonesia,99.625,IDN,2.375
,261,Indonesia,121.375,IDN,-3.375
2.053342164684897E-5,262,Brunei,115.125,BRN,4.875
,263,Indonesia,101.875,IDN,0.875
1.0611793535038886E-5,264,Myanmar,98.375,MMR,14.625
,265,Indonesia,98.375,IDN,3.625
8.187249647648148E-6,266,Myanmar,93.125,MMR,21.875
,267,Philippines,121.875,PHL,18.875
1.8377880421191213E-5,268,Myanmar,97.625,MMR,17.375
3.6563903900924553E-6,269,Indonesia,140.875,IDN,-5.375
1.5653140749714605E-5,270,Indonesia,102.875,IDN,-0.875
,271,Indonesia,112.125,IDN,-0.875
1.51657573312054E-5,272,Myanmar,98.125,MMR,14.625
,273,Vietnam,104.875,VNM,22.875
,274,Malaysia,114.875,MYS,3.875
,275,Indonesia,115.625,IDN,2.125
,276,Philippines,126.125,PHL,8.125
1.7213934837860825E-5,277,Myanmar,95.125,MMR,17.625
,278,Philippines,121.375,PHL,14.375
1.7382866817523003E-5,279,Myanmar,97.875,MMR,21.375
,280,Indonesia,104.125,IDN,-2.125
,281,Malaysia,113.375,MYS,1.875
2.189003688010704E-6,282,Indonesia,110.625,IDN,-2.875
1.3805384430860334E-5,283,Myanmar,93.625,MMR,23.875
,284,Thailand,99.875,THA,8.625
1.9763324409808967E-5,285,Thailand,97.875,THA,19.375
,286,Indonesia,101.875,IDN,0.625
2.8263696611608136E-5,287,Cambodia,104.875,KHM,12.375
8.0611074544237E-5,288,Cambodia,107.375,KHM,13.125
,289,Cambodia,103.125,KHM,12.125
,290,Indonesia,98.625,IDN,2.875
,291,Myanmar,97.375,MMR,25.125
,292,Vietnam,103.375,VNM,21.125
,293,Laos,101.875,LAO,21.375
,294,Malaysia,100.875,MYS,4.375
,295,Philippines,120.625,PHL,14.875
