first,system:index,Country,lon,Code,lat
-5.258732820143882E-6,0,Indonesia,138.625,IDN,-4.375
4.346097573817386E-6,1,Indonesia,103.875,IDN,-4.375
1.0220776794233609E-5,2,Vietnam,104.625,VNM,22.625
6.6895378419259955E-6,3,Indonesia,99.625,IDN,0.875
,4,Indonesia,115.875,IDN,-0.125
8.209171310241221E-5,5,Indonesia,110.375,IDN,0.875
1.3159490005879362E-5,6,Myanmar,98.125,MMR,20.375
1.0506736145551708E-5,7,Laos,105.625,LAO,17.625
9.64599447733998E-6,8,Vietnam,107.625,VNM,12.625
,9,Indonesia,137.125,IDN,-3.625
2.6532843964230556E-5,10,Thailand,101.375,THA,12.875
3.2154484191833125E-6,11,Indonesia,120.125,IDN,-3.125
,12,Indonesia,115.625,IDN,-2.125
6.544541078057451E-6,13,Laos,101.375,LAO,21.125
,14,Myanmar,99.125,MMR,11.625
8.139716264285172E-6,15,Thailand,102.375,THA,14.375
3.2625059167569607E-6,16,Laos,100.625,LAO,19.875
1.2101931023999088E-5,17,Indonesia,109.875,IDN,-7.375
,18,Myanmar,95.875,MMR,19.375
,19,Myanmar,98.375,MMR,23.125
,20,Myanmar,96.625,MMR,19.875
3.9979185456253325E-5,21,Indonesia,113.125,IDN,-7.875
,22,Myanmar,96.625,MMR,24.875
1.620396180683209E-5,23,Thailand,102.875,THA,17.125
,24,Malaysia,109.625,MYS,1.875
1.129943124891455E-5,25,Thailand,97.875,THA,17.625
1.5107574193460294E-5,26,Vietnam,108.875,VNM,15.125
,27,Indonesia,114.875,IDN,1.625
4.312153552867939E-6,28,Indonesia,137.375,IDN,-3.125
,29,Indonesia,140.875,IDN,-2.875
,30,Laos,105.625,LAO,16.875
,31,Philippines,122.875,PHL,14.125
8.846795274440644E-6,32,Indonesia,112.875,IDN,1.375
1.7741722585818784E-5,33,Vietnam,106.375,VNM,22.625
,34,Indonesia,119.875,IDN,-4.625
2.3464602685797408E-5,35,Thailand,100.375,THA,16.125
8.84819092674299E-6,36,Indonesia,109.375,IDN,0.125
1.0327768319647697E-5,37,Laos,101.875,LAO,19.375
5.6804700162038255E-6,38,Indonesia,136.625,IDN,-2.875
,39,Cambodia,103.375,KHM,12.125
1.3636160576621759E-5,40,Thailand,102.125,THA,16.125
1.0157858995732591E-5,41,Indonesia,131.625,IDN,-7.375
1.176558969049711E-5,42,Thailand,101.125,THA,15.625
8.690328772501082E-6,43,Thailand,101.625,THA,13.625
7.50980388238228E-6,44,Indonesia,108.875,IDN,-1.625
1.9145246413215994E-5,45,Thailand,103.875,THA,16.375
,46,Indonesia,96.875,IDN,5.125
3.975215400796776E-6,47,Laos,105.625,LAO,16.625
3.897728667982492E-6,48,Indonesia,130.375,IDN,-2.125
1.2446925870131454E-7,49,Indonesia,139.625,IDN,-4.625
,50,Philippines,123.875,PHL,10.375
4.239358299210478E-6,51,Malaysia,112.125,MYS,2.625
,52,Vietnam,105.375,VNM,9.375
