first,system:index,lat,lon
1.0965761920191789E-5,0,-8.625,113.375
1.1810220962249576E-5,1,-8.625,113.625
1.2295313355846401E-5,2,-8.375,110.875
9.555878885805383E-6,3,-8.375,111.125
-4.415432416322616E-8,4,-8.375,111.375
7.200362117401263E-6,5,-8.375,111.625
7.686524853504954E-6,6,-8.375,111.875
3.176047510252765E-6,7,-8.375,112.125
4.755853201520866E-6,8,-8.375,112.375
-3.364835498260727E-7,9,-8.375,112.625
-1.4814128578869314E-6,10,-8.375,112.875
6.2844187510188595E-6,11,-8.375,113.125
1.4646803650638919E-5,12,-8.375,113.375
1.139531178174089E-5,13,-8.375,113.625
2.498384792886532E-5,14,-8.125,110.125
2.2033659867878577E-5,15,-8.125,110.375
1.5945731100469817E-5,16,-8.125,110.625
1.829158964230828E-5,17,-8.125,110.875
,18,-8.125,111.125
,19,-8.125,111.375
,20,-8.125,111.625
2.9785054673731715E-5,21,-8.125,111.875
2.8085354027884607E-5,22,-8.125,112.125
2.759775108746896E-5,23,-8.125,112.375
2.8406971947216262E-5,24,-8.125,112.625
,25,-8.125,112.875
,26,-8.125,113.125
1.7598933312517704E-5,27,-8.125,113.375
1.8306168475091138E-5,28,-8.125,113.625
1.1677290460093166E-5,29,-7.875,108.125
6.185093439054969E-6,30,-7.875,108.375
2.113247933395715E-5,31,-7.875,108.625
2.506109846843446E-5,32,-7.875,108.875
1.5198469542858312E-5,33,-7.875,109.125
1.6301100375566354E-5,34,-7.875,109.375
1.907868828454833E-5,35,-7.875,109.625
2.0799333972079282E-5,36,-7.875,109.875
1.8298772298222237E-5,37,-7.875,110.125
1.8341517835378354E-5,38,-7.875,110.375
1.8916958363694806E-5,39,-7.875,110.625
2.209485235732241E-5,40,-7.875,110.875
,41,-7.875,111.125
,42,-7.875,111.375
,43,-7.875,111.625
2.826757198992777E-5,44,-7.875,111.875
3.262131939859871E-5,45,-7.875,112.125
4.253972679962926E-5,46,-7.875,112.375
,47,-7.875,112.625
,48,-7.875,112.875
3.7138226135502945E-5,49,-7.875,113.125
2.7173217024375852E-5,50,-7.875,113.375
2.6396935619448164E-5,51,-7.875,113.625
,52,-7.625,107.375
,53,-7.625,107.625
2.16806877342965E-5,54,-7.625,107.875
2.1213072451255856E-5,55,-7.625,108.125
,56,-7.625,108.375
,57,-7.625,108.625
4.3170537653542965E-5,58,-7.625,108.875
3.40922317295588E-5,59,-7.625,109.125
1.9916666075763647E-5,60,-7.625,109.375
2.2133040721082484E-5,61,-7.625,109.625
,62,-7.625,109.875
1.9062723255774967E-5,63,-7.625,110.125
,64,-7.625,110.375
2.0313907238026454E-5,65,-7.625,110.625
3.089837837862253E-5,66,-7.625,110.875
,67,-7.625,111.125
2.4864324914452288E-5,68,-7.625,111.375
3.270432762996384E-5,69,-7.625,111.625
3.2364740670416476E-5,70,-7.625,111.875
3.729148305439955E-5,71,-7.625,112.125
5.244196821654815E-5,72,-7.625,112.375
6.308396433810985E-5,73,-7.625,112.625
6.841474523391653E-5,74,-7.625,112.875
5.4024158542692886E-5,75,-7.625,113.125
3.6198954538662516E-5,76,-7.625,113.375
4.372745692781285E-5,77,-7.625,113.625
1.273037413034768E-5,78,-7.375,106.375
1.8773298286709783E-5,79,-7.375,106.625
1.2758881942606835E-5,80,-7.375,106.875
1.1978974048877706E-5,81,-7.375,107.125
,82,-7.375,107.375
,83,-7.375,107.625
9.39167119819037E-6,84,-7.375,107.875
1.690525086842927E-5,85,-7.375,108.125
2.1321057508746627E-5,86,-7.375,108.375
2.532048444605217E-5,87,-7.375,108.625
4.3170539033579364E-5,88,-7.375,108.875
3.601392744281022E-5,89,-7.375,109.125
2.5900004728176525E-5,90,-7.375,109.375
1.7241061464286433E-5,91,-7.375,109.625
2.0149875774545057E-5,92,-7.375,109.875
1.5637387287208115E-5,93,-7.375,110.125
1.562765978133344E-5,94,-7.375,110.375
,95,-7.375,110.625
,96,-7.375,110.875
4.017151874912127E-5,97,-7.375,111.125
3.101107045227744E-5,98,-7.375,111.375
3.0313573772047055E-5,99,-7.375,111.625
2.8868133326195948E-5,100,-7.375,111.875
3.0671691052596784E-5,101,-7.375,112.125
5.1772899808865965E-5,102,-7.375,112.375
6.023210849350987E-5,103,-7.375,112.625
6.840947303024575E-5,104,-7.375,112.875
5.196107704626352E-5,105,-7.375,113.125
2.6638026105938468E-5,106,-7.375,113.625
2.305723751039757E-5,107,-7.125,105.625
2.5246997929011275E-5,108,-7.125,106.375
6.836541417286797E-5,109,-7.125,106.625
7.02393713953979E-5,110,-7.125,106.875
,111,-7.125,107.125
,112,-7.125,107.375
,113,-7.125,107.625
2.2081763174105923E-5,114,-7.125,107.875
1.8451830671887314E-5,115,-7.125,108.125
1.7493538617754957E-5,116,-7.125,108.375
2.0419925266687957E-5,117,-7.125,108.625
2.2987869802952776E-5,118,-7.125,108.875
,119,-7.125,109.125
3.30730308769981E-5,120,-7.125,109.375
4.043243892719232E-5,121,-7.125,109.625
3.852422766899078E-5,122,-7.125,109.875
3.496093907175503E-5,123,-7.125,110.125
4.246939124993868E-5,124,-7.125,110.375
4.3924532255189245E-5,125,-7.125,110.625
3.375083639883382E-5,126,-7.125,110.875
3.32363985198205E-5,127,-7.125,111.125
2.9148521756643966E-5,128,-7.125,111.375
2.1464567230515037E-5,129,-7.125,111.625
2.4117080024353554E-5,130,-7.125,111.875
3.174179138169004E-5,131,-7.125,112.125
4.3808527815505784E-5,132,-7.125,112.375
4.4109362810642194E-5,133,-7.125,112.625
3.436969791355271E-5,134,-7.125,112.875
2.5872301730172005E-5,135,-7.125,113.125
3.024519639491737E-5,136,-7.125,113.375
2.2242727633449985E-5,137,-7.125,113.625
2.0293742789728377E-5,138,-6.875,105.125
1.852746319060744E-5,139,-6.875,105.375
2.2505428011765155E-5,140,-6.875,105.625
2.406629070551896E-5,141,-6.875,105.875
2.3379142216545717E-5,142,-6.875,106.125
2.73889267646106E-5,143,-6.875,106.375
3.636448072664863E-5,144,-6.875,106.625
8.780522254198188E-5,145,-6.875,106.875
3.9492770718960265E-5,146,-6.875,107.125
4.5153153816544306E-5,147,-6.875,107.375
,148,-6.875,107.625
,149,-6.875,107.875
,150,-6.875,108.125
1.9897595967487758E-5,151,-6.875,108.375
2.106230043473434E-5,152,-6.875,108.625
3.0248635306111645E-5,153,-6.875,108.875
3.867077726492646E-5,154,-6.875,109.125
2.521057318168254E-5,155,-6.875,109.375
2.43460457467163E-5,156,-6.875,109.625
2.4179614364997993E-5,157,-6.875,109.875
2.6515698244351643E-5,158,-6.875,110.125
3.0344588341007345E-5,159,-6.875,110.375
3.6116721455674896E-5,160,-6.875,110.625
2.7539454747506475E-5,161,-6.875,110.875
2.4203685636236966E-5,162,-6.875,111.125
2.8144787834727398E-5,163,-6.875,111.375
3.136305956231896E-5,164,-6.875,111.625
6.566471985665649E-5,165,-6.875,111.875
5.478495337675822E-5,166,-6.875,112.125
3.160145034320126E-5,167,-6.875,112.375
2.9289215536253528E-5,168,-6.875,112.625
3.039478160551577E-5,169,-6.875,112.875
3.087574262620586E-5,170,-6.875,113.125
3.3540252334066464E-5,171,-6.875,113.375
3.53852263309346E-5,172,-6.875,113.625
1.636804271030239E-5,173,-6.625,105.125
2.3658323917025024E-5,174,-6.625,105.375
2.1011524803167638E-5,175,-6.625,105.625
2.1141661840128583E-5,176,-6.625,105.875
2.7007988220005685E-5,177,-6.625,106.125
2.5753596325621806E-5,178,-6.625,106.375
4.6604765162279365E-5,179,-6.625,106.625
1.1383599913085994E-4,180,-6.625,106.875
3.696029932353653E-5,181,-6.625,107.125
6.618213176328344E-5,182,-6.625,107.375
5.087596283475402E-5,183,-6.625,107.625
3.28965558049594E-5,184,-6.625,107.875
4.1615684277010895E-5,185,-6.625,108.125
4.737962296330752E-5,186,-6.625,108.375
3.0993979169640524E-5,187,-6.625,108.625
2.1140670653348154E-5,188,-6.625,108.875
4.7312601485139104E-5,189,-6.625,110.625
1.11762173241691E-4,190,-6.625,110.875
3.5990599454294315E-5,191,-6.625,111.125
1.9811609937080925E-5,192,-6.625,111.375
4.0050855964269913E-5,193,-6.625,111.625
2.35458223224355E-5,194,-6.375,105.625
4.5077544499664055E-5,195,-6.375,105.875
3.529553274897291E-5,196,-6.375,106.125
7.304505139314023E-5,197,-6.375,106.375
8.591062982803518E-5,198,-6.375,106.625
1.7373225591887264E-4,199,-6.375,106.875
8.690945084091605E-5,200,-6.375,107.125
3.5945146753408175E-5,201,-6.375,107.375
2.6793268351422574E-5,202,-6.375,107.625
3.640974344568375E-5,203,-6.375,107.875
2.3824640437409374E-5,204,-6.375,108.125
2.3047232727878982E-5,205,-6.375,108.375
2.9324845791037938E-5,206,-6.375,108.625
2.4929557134823598E-5,207,-6.375,110.625
5.8961375728582585E-5,208,-6.375,110.875
2.3856163245668055E-5,209,-6.375,111.125
3.080687599323887E-5,210,-6.125,105.375
4.433726071564282E-5,211,-6.125,105.875
6.411960853922705E-5,212,-6.125,106.125
5.7774995895053435E-5,213,-6.125,106.375
5.832069066606009E-5,214,-6.125,106.625
7.088148028904294E-5,215,-6.125,106.875
4.136523178086071E-5,216,-6.125,107.125
2.7987378385357225E-5,217,-6.125,107.375
2.2481407561993252E-5,218,-6.125,107.625
2.274831896200755E-5,219,-6.125,107.875
2.3695251257243455E-5,220,-6.125,108.125
2.2261187443292915E-5,221,-6.125,108.375
1.824043947805864E-5,222,-5.875,104.375
1.9088820411323577E-5,223,-5.875,104.625
2.3330675348635663E-5,224,-5.875,104.875
2.7103129905666954E-5,225,-5.875,105.125
6.276258560068258E-5,226,-5.875,105.375
7.95009510273965E-5,227,-5.875,105.625
1.035096615132632E-4,228,-5.875,105.875
2.9151017166855454E-5,229,-5.875,106.125
2.530770841378025E-5,230,-5.875,106.375
1.919978486086999E-5,231,-5.875,106.625
2.2887120627889767E-5,232,-5.875,106.875
2.309291237085862E-5,233,-5.875,107.125
2.712156304532711E-5,234,-5.875,107.375
1.5187325101014784E-5,235,-5.875,110.125
1.8760450899290893E-5,236,-5.875,110.375
2.5138010101649818E-5,237,-5.875,110.625
1.4687703132109886E-5,238,-5.875,112.625
1.2949435885078822E-5,239,-5.875,112.875
1.808751683742203E-5,240,-5.625,104.125
1.2799873739983487E-5,241,-5.625,104.375
1.9265162254520132E-5,242,-5.625,104.625
1.8753300329218575E-5,243,-5.625,104.875
1.1803567143890902E-5,244,-5.625,105.125
2.62231583219698E-5,245,-5.625,105.375
3.114861051228364E-5,246,-5.625,105.625
2.4730299157375937E-5,247,-5.625,105.875
2.077173266800994E-5,248,-5.625,106.625
1.1832423615633004E-5,249,-5.625,110.125
1.7939449209338715E-5,250,-5.625,110.375
1.5827379605400556E-5,251,-5.625,112.625
1.767445798371063E-5,252,-5.375,102.125
1.409466844888673E-5,253,-5.375,102.375
1.4324056210726136E-5,254,-5.375,103.875
1.4778213959928083E-5,255,-5.375,104.125
1.1553633330182128E-5,256,-5.375,104.375
1.8925178202759077E-5,257,-5.375,104.625
1.8869696096693638E-5,258,-5.375,104.875
2.099738266603014E-5,259,-5.375,105.125
,260,-5.375,105.375
1.8781207872005472E-5,261,-5.375,105.625
1.2768457509151993E-5,262,-5.375,105.875
1.8293275725331892E-5,263,-5.375,106.375
1.6129696734459556E-5,264,-5.375,106.625
2.0543943559197077E-5,265,-5.125,103.625
8.4924103069902E-6,266,-5.125,103.875
,267,-5.125,104.125
4.141871621933586E-6,268,-5.125,104.375
1.0360986188929655E-5,269,-5.125,104.625
1.6141134260311104E-5,270,-5.125,104.875
1.652682415032581E-5,271,-5.125,105.125
,272,-5.125,105.375
9.733229954999083E-6,273,-5.125,105.625
1.4406204573824949E-5,274,-5.125,105.875
1.7021308161588842E-5,275,-5.125,106.125
1.4265095215705144E-5,276,-5.125,106.375
1.4359042214664743E-5,277,-4.875,103.375
1.2679394159519246E-5,278,-4.875,103.625
1.2569848265484718E-5,279,-4.875,103.875
1.4296898120577396E-5,280,-4.875,104.125
1.4251397577221853E-5,281,-4.875,104.375
1.5245318868128562E-5,282,-4.875,104.625
2.2652600719163946E-5,283,-4.875,104.875
2.3862066775557275E-5,284,-4.875,105.125
1.399543755466353E-5,285,-4.875,105.375
7.1267641941447E-6,286,-4.875,105.625
1.1543737666696635E-5,287,-4.875,105.875
1.7635312290830643E-5,288,-4.625,102.875
1.6280657523039274E-5,289,-4.625,103.125
,290,-4.625,103.375
1.0811192496719664E-5,291,-4.625,103.625
1.4478724263874082E-5,292,-4.625,103.875
1.969016195444268E-5,293,-4.625,104.125
1.3015317696442619E-5,294,-4.625,104.375
1.5451717465858E-5,295,-4.625,104.625
2.0219438718278656E-5,296,-4.625,104.875
2.0178160512912964E-5,297,-4.625,105.125
1.2577327147106888E-5,298,-4.625,105.375
8.681191516737069E-6,299,-4.625,105.625
1.027743806932647E-5,300,-4.625,105.875
1.710342884191622E-5,301,-4.375,102.625
2.5419919778378283E-5,302,-4.375,102.875
4.791900601366881E-6,303,-4.375,103.125
,304,-4.375,103.375
,305,-4.375,103.625
1.4943690919164198E-5,306,-4.375,103.875
1.3765044686220417E-5,307,-4.375,104.125
1.5969402055741353E-5,308,-4.375,104.375
1.4893895703293865E-5,309,-4.375,104.625
1.4139556486143514E-5,310,-4.375,104.875
1.4250602779411918E-5,311,-4.375,105.125
2.2934439440499178E-7,312,-4.375,105.375
1.7365016730445622E-5,313,-4.375,105.625
1.0093384549305073E-5,314,-4.375,105.875
1.6738090865971615E-5,315,-4.125,102.375
-4.849388420707289E-6,316,-4.125,102.625
-7.836855469818E-7,317,-4.125,102.875
1.756619681849312E-5,318,-4.125,103.125
2.0001820117340884E-5,319,-4.125,103.375
2.9299245893982675E-6,320,-4.125,103.625
1.2252644163627435E-5,321,-4.125,103.875
1.1755647856522547E-5,322,-4.125,104.125
1.3694488496767256E-5,323,-4.125,104.375
1.3462284478190036E-5,324,-4.125,104.625
1.0999356970786856E-5,325,-4.125,104.875
1.0903101211881577E-5,326,-4.125,105.125
1.356726212213375E-5,327,-4.125,105.375
7.547884100136199E-6,328,-4.125,105.625
5.647744315364435E-6,329,-4.125,105.875
1.908217520455283E-5,330,-3.875,102.125
1.4098974909673577E-5,331,-3.875,102.375
9.598590109474283E-6,332,-3.875,102.625
1.1972913822001368E-5,333,-3.875,102.875
1.645087823436507E-5,334,-3.875,103.125
1.9362245979408133E-5,335,-3.875,103.375
2.6415082292174716E-5,336,-3.875,103.625
1.720880055885284E-5,337,-3.875,103.875
1.3513392041916513E-5,338,-3.875,104.125
1.2522984852612299E-5,339,-3.875,104.375
1.6779999462761952E-5,340,-3.875,104.625
1.2409655674891986E-5,341,-3.875,104.875
1.0339648225142446E-5,342,-3.875,105.125
7.639598162306009E-6,343,-3.875,105.375
1.0973500864133896E-5,344,-3.875,105.625
1.2605797429572634E-5,345,-3.875,105.875
1.7602574863100493E-5,346,-3.625,101.875
,347,-3.625,102.125
,348,-3.625,102.375
1.4549615748672793E-5,349,-3.625,102.625
1.5981575183564523E-5,350,-3.625,102.875
1.83430939819424E-5,351,-3.625,103.125
1.6854265394961197E-5,352,-3.625,103.375
1.718036815403219E-5,353,-3.625,103.625
1.4602491287286044E-5,354,-3.625,103.875
1.1368086331557331E-5,355,-3.625,104.125
1.5714186155429585E-5,356,-3.625,104.375
1.4269490705653943E-5,357,-3.625,104.625
1.1230522651707216E-5,358,-3.625,104.875
1.4629892867824557E-5,359,-3.625,105.125
5.832802434951727E-6,360,-3.625,105.375
8.867702397129629E-6,361,-3.625,105.625
2.0865931369559368E-5,362,-3.625,105.875
1.0511826917191063E-5,363,-3.625,111.875
,364,-3.375,100.375
5.893646305724539E-6,365,-3.375,100.625
1.450406197979285E-5,366,-3.375,101.625
1.4262366228511542E-5,367,-3.375,101.875
,368,-3.375,102.125
6.092289334032091E-6,369,-3.375,102.375
3.162953346878131E-5,370,-3.375,102.625
1.4104756160790869E-5,371,-3.375,102.875
2.1418044840421056E-5,372,-3.375,103.125
1.6590399403408284E-5,373,-3.375,103.375
1.7861084730867658E-5,374,-3.375,103.625
1.8757063394676966E-5,375,-3.375,103.875
2.677793737260967E-5,376,-3.375,104.125
9.457910362647067E-6,377,-3.375,104.375
1.6534421000864973E-5,378,-3.375,104.625
1.5828613714266613E-5,379,-3.375,104.875
5.445456032310052E-6,380,-3.375,105.125
6.087640337994608E-6,381,-3.375,105.375
,382,-3.375,105.625
,383,-3.375,105.875
6.076789344540465E-6,384,-3.375,106.125
9.882785498686276E-6,385,-3.375,107.125
9.152467019535501E-6,386,-3.375,107.625
8.926105827629706E-6,387,-3.375,107.875
8.929337661683782E-6,388,-3.375,108.125
1.0117932503363896E-5,389,-3.375,108.375
1.241515635531062E-5,390,-3.375,111.875
5.261231849049246E-6,391,-3.375,112.125
6.974114962548303E-6,392,-3.375,112.375
6.4088820068339005E-6,393,-3.375,112.625
1.0187392952825551E-5,394,-3.375,112.875
6.598159517406189E-6,395,-3.375,113.375
2.2601196450569483E-6,396,-3.375,113.625
1.4749058214584605E-5,397,-3.125,100.125
1.032086022332317E-5,398,-3.125,100.375
1.077698629384917E-5,399,-3.125,100.625
1.2986491684312569E-5,400,-3.125,101.375
1.057485940048046E-5,401,-3.125,101.625
,402,-3.125,101.875
2.0284007545122466E-5,403,-3.125,102.125
1.0672772138390893E-5,404,-3.125,102.375
1.62700951243164E-5,405,-3.125,102.625
1.7314281179449923E-5,406,-3.125,102.875
1.7387519639676054E-5,407,-3.125,103.125
1.35671225444365E-5,408,-3.125,103.375
1.5067263030005793E-5,409,-3.125,103.625
1.5553938388598856E-5,410,-3.125,103.875
1.6101629705475088E-5,411,-3.125,104.125
1.640225325950776E-5,412,-3.125,104.375
1.9949830820899452E-5,413,-3.125,104.625
2.3166424354885004E-5,414,-3.125,104.875
1.2309929634639912E-5,415,-3.125,105.125
1.6420665462380362E-5,416,-3.125,105.375
,417,-3.125,105.625
,418,-3.125,105.875
,419,-3.125,106.125
1.611455435303012E-5,420,-3.125,106.375
7.021773693462635E-6,421,-3.125,106.625
1.0775503438175941E-5,422,-3.125,106.875
1.0017962898844117E-5,423,-3.125,107.125
1.5889070362137347E-5,424,-3.125,107.375
1.1382694967893814E-5,425,-3.125,107.625
3.959398860415379E-6,426,-3.125,107.875
3.978444420310604E-6,427,-3.125,108.125
1.0042660628623347E-5,428,-3.125,108.375
3.390897008174425E-6,429,-3.125,110.125
9.31415286413036E-6,430,-3.125,110.625
1.1522881880857994E-5,431,-3.125,110.875
9.52983770543144E-6,432,-3.125,111.125
1.0558987668618238E-5,433,-3.125,111.625
1.2694346717192936E-5,434,-3.125,111.875
1.372545181741516E-5,435,-3.125,112.125
,436,-3.125,112.375
,437,-3.125,112.625
1.7781028864334162E-5,438,-3.125,112.875
1.77810287610409E-5,439,-3.125,113.125
1.8539885166702837E-5,440,-3.125,113.375
1.63689317031753E-5,441,-3.125,113.625
1.1723222820934354E-5,442,-2.875,99.875
2.826220649021014E-6,443,-2.875,100.125
1.0078095664877472E-5,444,-2.875,100.375
