first,system:index,Country,lon,Code,lat
1.2017946583186555E-5,0,Indonesia,138.625,IDN,-4.375
1.6244802644943232E-5,1,Indonesia,103.875,IDN,-4.375
,2,Vietnam,104.625,VNM,22.625
,3,Indonesia,99.625,IDN,0.875
1.761725100009724E-5,4,Indonesia,115.875,IDN,-0.125
3.494441125532813E-5,5,Indonesia,110.375,IDN,0.875
5.599927236993459E-6,6,Myanmar,98.125,MMR,20.375
,7,Laos,105.625,LAO,17.625
1.2901505440388459E-5,8,Vietnam,107.625,VNM,12.625
-3.282813353860148E-8,9,Indonesia,137.125,IDN,-3.625
,10,Thailand,101.375,THA,12.875
,11,Indonesia,120.125,IDN,-3.125
,12,Indonesia,115.625,IDN,-2.125
9.104686318125198E-6,13,Laos,101.375,LAO,21.125
,14,Myanmar,99.125,MMR,11.625
2.6567485376600953E-5,15,Thailand,102.375,THA,14.375
,16,Laos,100.625,LAO,19.875
,17,Indonesia,109.875,IDN,-7.375
1.3621356591473886E-5,18,Myanmar,95.875,MMR,19.375
,19,Myanmar,98.375,MMR,23.125
,20,Myanmar,96.625,MMR,19.875
2.3919376729009126E-5,21,Indonesia,113.125,IDN,-7.875
,22,Myanmar,96.625,MMR,24.875
2.287756971595991E-5,23,Thailand,102.875,THA,17.125
1.055356324121058E-5,24,Malaysia,109.625,MYS,1.875
,25,Thailand,97.875,THA,17.625
1.728968029915464E-5,26,Vietnam,108.875,VNM,15.125
,27,Indonesia,114.875,IDN,1.625
9.61236516812854E-6,28,Indonesia,137.375,IDN,-3.125
4.8481160305658995E-6,29,Indonesia,140.875,IDN,-2.875
,30,Laos,105.625,LAO,16.875
7.1824250859641525E-6,31,Philippines,122.875,PHL,14.125
,32,Indonesia,112.875,IDN,1.375
2.252133450946013E-5,33,Vietnam,106.375,VNM,22.625
,34,Indonesia,119.875,IDN,-4.625
,35,Thailand,100.375,THA,16.125
9.142127206805575E-6,36,Indonesia,109.375,IDN,0.125
1.1261254469731066E-5,37,Laos,101.875,LAO,19.375
6.405822221629131E-6,38,Indonesia,136.625,IDN,-2.875
,39,Cambodia,103.375,KHM,12.125
,40,Thailand,102.125,THA,16.125
,41,Indonesia,131.625,IDN,-7.375
4.0044124103223695E-5,42,Thailand,101.125,THA,15.625
,43,Thailand,101.625,THA,13.625
-4.639844952510178E-6,44,Indonesia,108.875,IDN,-1.625
,45,Thailand,103.875,THA,16.375
1.5324860679169672E-5,46,Indonesia,96.875,IDN,5.125
7.684270828889508E-6,47,Laos,105.625,LAO,16.625
8.899067229643167E-6,48,Indonesia,130.375,IDN,-2.125
,49,Indonesia,139.625,IDN,-4.625
,50,Philippines,123.875,PHL,10.375
,51,Malaysia,112.125,MYS,2.625
1.477491992646717E-5,52,Vietnam,105.375,VNM,9.375
1.0889466387425216E-5,53,Cambodia,107.375,KHM,12.625
7.516943595370225E-6,54,Indonesia,139.375,IDN,-2.375
,55,Myanmar,99.125,MMR,13.125
,56,Thailand,99.875,THA,12.125
1.6970769347487503E-5,57,Laos,101.625,LAO,19.625
1.539309335874944E-5,58,Cambodia,106.875,KHM,12.375
7.786146096763124E-6,59,Indonesia,113.125,IDN,0.625
4.5857300019623445E-6,60,Indonesia,139.375,IDN,-3.875
,61,Indonesia,120.125,IDN,-2.875
1.2910178397393575E-5,62,Indonesia,102.875,IDN,0.625
,63,Indonesia,117.125,IDN,2.625
,64,Laos,100.125,LAO,20.375
7.53000340371567E-6,65,Myanmar,96.625,MMR,23.125
1.854635889099071E-5,66,Vietnam,105.625,VNM,9.375
1.16747911563079E-5,67,Cambodia,106.875,KHM,13.625
,68,Laos,105.375,LAO,17.625
,69,Thailand,100.875,THA,18.125
5.028789943960162E-6,70,Indonesia,104.875,IDN,-3.125
,71,Thailand,100.625,THA,16.375
9.66416531072111E-6,72,Indonesia,103.625,IDN,-4.625
,73,Indonesia,115.375,IDN,-2.625
1.2301539799572896E-5,74,Thailand,101.125,THA,19.375
,75,Indonesia,132.875,IDN,-3.875
,76,Indonesia,134.625,IDN,-6.125
1.727410998146313E-5,77,Indonesia,98.875,IDN,3.625
,78,Myanmar,95.375,MMR,24.875
,79,Indonesia,116.125,IDN,-0.875
1.2823647778006605E-5,80,Cambodia,105.125,KHM,13.125
,81,Indonesia,133.625,IDN,-0.875
1.1091163379578395E-5,82,Cambodia,105.875,KHM,11.875
1.6102166160602573E-5,83,Myanmar,94.875,MMR,19.375
,84,Indonesia,127.125,IDN,-0.375
7.485423269267684E-6,85,Myanmar,92.375,MMR,20.875
6.011402635085942E-6,86,Indonesia,137.125,IDN,-3.375
,87,Philippines,121.875,PHL,16.625
,88,Philippines,123.625,PHL,12.125
,89,Indonesia,116.375,IDN,-2.625
,90,Indonesia,117.875,IDN,1.375
,91,Indonesia,117.125,IDN,0.625
1.7859611287004847E-5,92,Thailand,98.625,THA,18.625
,93,Myanmar,94.125,MMR,20.875
1.3489435859201136E-6,94,Indonesia,109.375,IDN,0.625
,95,Laos,105.125,LAO,17.125
2.7082537311314195E-5,96,Cambodia,105.625,KHM,11.125
1.288813614952708E-5,97,Malaysia,118.125,MYS,5.625
7.859417996149645E-6,98,Indonesia,116.375,IDN,4.125
,99,Indonesia,119.375,IDN,-9.625
6.135067200507649E-5,100,Malaysia,104.125,MYS,1.375
,101,Indonesia,116.125,IDN,-3.625
,102,Indonesia,136.875,IDN,-2.625
1.0009145140860575E-5,103,Indonesia,102.375,IDN,0.375
9.236537525072768E-6,104,Philippines,121.125,PHL,15.625
,105,Thailand,99.375,THA,16.125
,106,Indonesia,107.875,IDN,-6.375
1.9505996510340558E-5,107,Laos,101.875,LAO,19.875
5.824503456181371E-6,108,Malaysia,111.875,MYS,1.375
,109,Indonesia,96.375,IDN,4.125
6.616037243157138E-6,110,Laos,103.125,LAO,19.875
9.671131938733113E-6,111,Thailand,104.125,THA,14.375
,112,Thailand,98.625,THA,19.125
2.0287347213004012E-5,113,Myanmar,95.625,MMR,23.125
,114,Vietnam,104.125,VNM,21.875
,115,Myanmar,96.375,MMR,24.625
1.56848496313583E-5,116,Indonesia,120.125,IDN,-4.375
,117,Indonesia,103.625,IDN,0.125
1.359259999848981E-5,118,Myanmar,98.625,MMR,23.375
,119,Vietnam,105.375,VNM,18.375
1.714680723814417E-5,120,Thailand,102.125,THA,17.625
,121,Thailand,101.625,THA,17.875
9.698878732918706E-6,122,Laos,101.125,LAO,20.875
,123,Laos,102.375,LAO,19.625
2.7840471750816177E-5,124,Vietnam,105.375,VNM,10.375
-2.60961474537225E-7,125,Philippines,121.375,PHL,13.875
9.857722930570224E-6,126,Indonesia,102.875,IDN,-3.625
,127,Indonesia,116.875,IDN,-0.375
,128,Myanmar,95.625,MMR,26.375
1.4968711907298042E-5,129,Laos,103.625,LAO,19.625
2.289410203543109E-6,130,Myanmar,93.125,MMR,21.125
,131,Myanmar,99.125,MMR,12.375
,132,Indonesia,96.625,IDN,4.125
,133,Thailand,102.125,THA,17.875
7.734994154421404E-6,134,Indonesia,137.125,IDN,-2.375
2.026580806573439E-5,135,Myanmar,95.125,MMR,20.375
,136,Thailand,100.875,THA,13.875
,137,Indonesia,116.375,IDN,1.125
