first,system:index,lat,lon
1.4893841781568888E-5,0,-8.625,113.375
1.6164502614851157E-5,1,-8.625,113.625
8.593282470677713E-6,2,-8.375,110.875
1.2900897666611383E-5,3,-8.375,111.125
6.5989761530084E-6,4,-8.375,111.375
9.620813027522733E-6,5,-8.375,111.625
9.806811564434525E-6,6,-8.375,111.875
1.5552048995273096E-5,7,-8.375,112.125
1.946063308647614E-5,8,-8.375,112.375
1.4949619690530764E-5,9,-8.375,112.625
1.6557997361582026E-5,10,-8.375,112.875
1.3630266414839637E-5,11,-8.375,113.125
1.6826728439384656E-5,12,-8.375,113.375
1.62884874712912E-5,13,-8.375,113.625
1.7017938630079125E-5,14,-8.125,110.125
1.4454211639531164E-5,15,-8.125,110.375
1.2543942616503825E-5,16,-8.125,110.625
6.696067999853195E-6,17,-8.125,110.875
1.6605648036277212E-6,18,-8.125,111.125
,19,-8.125,111.375
,20,-8.125,111.625
2.1333732608767844E-5,21,-8.125,111.875
1.7305200493200842E-5,22,-8.125,112.125
1.4838457776516686E-5,23,-8.125,112.375
2.112988646389708E-5,24,-8.125,112.625
,25,-8.125,112.875
,26,-8.125,113.125
1.1811294776100492E-5,27,-8.125,113.375
1.4195521129404267E-5,28,-8.125,113.625
1.0553870767673079E-5,29,-7.875,108.125
8.477004391714137E-6,30,-7.875,108.375
8.607811180588221E-6,31,-7.875,108.625
1.3111036527446046E-5,32,-7.875,108.875
2.2009651329089447E-5,33,-7.875,109.125
1.9249997014774903E-5,34,-7.875,109.375
2.2576117056845322E-5,35,-7.875,109.625
1.3574893072385396E-5,36,-7.875,109.875
1.739134418755701E-5,37,-7.875,110.125
1.6904146878067495E-5,38,-7.875,110.375
2.2423099350421836E-5,39,-7.875,110.625
,40,-7.875,110.875
,41,-7.875,111.125
-2.802014182532343E-6,42,-7.875,111.375
,43,-7.875,111.625
,44,-7.875,111.875
2.05696237689672E-5,45,-7.875,112.125
1.6264229208147832E-5,46,-7.875,112.375
,47,-7.875,112.625
,48,-7.875,112.875
,49,-7.875,113.125
1.0985706892159192E-5,50,-7.875,113.375
,51,-7.875,113.625
,52,-7.625,107.375
,53,-7.625,107.625
,54,-7.625,107.875
,55,-7.625,108.125
,56,-7.625,108.375
7.848070702631295E-6,57,-7.625,108.625
1.4865620819196136E-5,58,-7.625,108.875
8.393509284521077E-5,59,-7.625,109.125
5.176893375747236E-5,60,-7.625,109.375
2.141801648928542E-5,61,-7.625,109.625
2.7802003163928096E-5,62,-7.625,109.875
,63,-7.625,110.125
,64,-7.625,110.375
,65,-7.625,110.625
2.667408663272817E-5,66,-7.625,110.875
