first,system:index,SHAPE_Length,ENGTYPE_4,Join_Count,NAME_2,NAME_3,SHAPE_Area,TARGET_FID,NAME_0,NAME_1,OID_,NAME_4,Centroid_Y,GID_0,Centroid_X
7.66085216292796E-6,0,1,Village,1,Jember,Puger,0.0625,7391,Indonesia,Jawa Timur,7391,Puger Kulon,-8.624999999999943,IDN,113.37500000000011
1.0830636775612374E-5,1,1,Village,2,Jember,Tempurejo,0.0625,7392,Indonesia,Jawa Timur,7392,Andongrejo,-8.624999999999943,IDN,113.62500000000011
1.8903095112193954E-5,2,1,Village,1,Pacitan,Pringkuku,0.0625,7549,Indonesia,Jawa Timur,7549,Candi,-8.374999999999943,IDN,110.87500000000004
1.0311652745117003E-5,3,1,Village,11,Pacitan,Kebonagung,0.0625,7550,Indonesia,Jawa Timur,7550,Kalipelus,-8.374999999999943,IDN,111.12500000000004
7.155705888172688E-6,4,1,Village,15,Pacitan,Ngadirojo,0.0625,7551,Indonesia,Jawa Timur,7551,Hadiwarno,-8.374999999999943,IDN,111.37500000000004
1.0460060256933791E-5,5,1,Village,28,Trenggalek,Dongko,0.0625,7552,Indonesia,Jawa Timur,7552,Pandean,-8.374999999999943,IDN,111.62500000000004
7.354682236772019E-6,6,1.000000000000114,Village,13,Trenggalek,Watulimo,0.062500000000014,7553,Indonesia,Jawa Timur,7553,Tasikmadu,-8.374999999999943,IDN,111.87500000000009
1.1932582850207051E-5,7,1,Village,26,Blitar,Bakung,0.0625,7554,Indonesia,Jawa Timur,7554,Bakung,-8.374999999999943,IDN,112.12500000000011
1.0009993530537585E-5,8,1,Village,35,Blitar,Binangun,0.0625,7555,Indonesia,Jawa Timur,7555,Binangun,-8.374999999999943,IDN,112.37500000000011
7.01144913576856E-6,9,1,Village,39,Malang,Bantur,0.0625,7556,Indonesia,Jawa Timur,7556,Bandungrejo,-8.374999999999943,IDN,112.62500000000011
6.172288860263452E-6,10,1,Village,31,Lumajang,Pronojiwo,0.0625,7557,Indonesia,Jawa Timur,7557,Sidomulyo,-8.374999999999943,IDN,112.87500000000011
1.1894410809398545E-5,11,1,Village,19,Lumajang,Candipuro,0.0625,7558,Indonesia,Jawa Timur,7558,Jugosari,-8.374999999999943,IDN,113.12500000000011
1.3258080613612037E-5,12,1,Village,48,Jember,Balung,0.0625,7559,Indonesia,Jawa Timur,7559,Karang Duren,-8.374999999999943,IDN,113.37500000000011
1.4677807869806381E-5,13,1,Village,52,Jember,Ajung,0.0625,7560,Indonesia,Jawa Timur,7560,Mangaran,-8.374999999999943,IDN,113.62500000000011
7.764186049362665E-6,14,1,Village,1,Bantul,Sanden,0.0625,7714,Indonesia,Yogyakarta,7714,Gadingsari,-8.124999999999943,IDN,110.12500000000004
7.953707714156E-6,15,1,Village,23,Bantul,Kretek,0.0625,7715,Indonesia,Yogyakarta,7715,Donotirto,-8.124999999999943,IDN,110.37500000000004
8.485272928753542E-6,16,1,Village,48,Gunung Kidul,Girisubo,0.0625,7716,Indonesia,Yogyakarta,7716,Balong,-8.124999999999943,IDN,110.62500000000004
6.354228704010018E-6,17,1,Village,97,Wonogiri,Baturetno,0.0625,7717,Indonesia,Jawa Tengah,7717,Balepanjang,-8.124999999999943,IDN,110.87500000000004
5.102269524247065E-6,18,1,Village,114,Wonogiri,Batuwarno,0.0625,7718,Indonesia,Jawa Tengah,7718,Batuwarno,-8.124999999999943,IDN,111.12500000000004
2.895303505417152E-6,19,1,Village,117,Pacitan,Bandar,0.0625,7719,Indonesia,Jawa Timur,7719,Bandar,-8.124999999999943,IDN,111.37500000000004
1.0170879980347902E-5,20,1,Village,128,Ponorogo,Ngrayun,0.0625,7720,Indonesia,Jawa Timur,7720,Cepoko,-8.124999999999943,IDN,111.62500000000004
1.16285589914235E-5,21,1.000000000000114,Village,264,Blitar,Udanawu,0.062500000000014,7721,Indonesia,Jawa Timur,7721,Besuki,-8.124999999999943,IDN,111.87500000000009
1.3506017174300367E-5,22,1,Village,187,Blitar,Bakung,0.0625,7722,Indonesia,Jawa Timur,7722,Kedungbanteng,-8.124999999999943,IDN,112.12500000000011
1.333993188478332E-5,23,1,Village,146,Blitar,Binangun,0.0625,7723,Indonesia,Jawa Timur,7723,Binangun,-8.124999999999943,IDN,112.37500000000011
1.882600112813338E-5,24,1,Urban Community,196,Kota Malang,Kedungkandang,0.0625,7724,Indonesia,Jawa Timur,7724,Arjowinangun,-8.124999999999943,IDN,112.62500000000011
1.326106988861125E-5,25,1,Village,75,Lumajang,Candipuro,0.0625,7725,Indonesia,Jawa Timur,7725,Sumbermujur,-8.124999999999943,IDN,112.87500000000011
1.1466866069739173E-5,26,1,Village,138,Lumajang,Candipuro,0.0625,7726,Indonesia,Jawa Timur,7726,Candipuro,-8.124999999999943,IDN,113.12500000000011
2.1034144801349E-5,27,1,Village,111,Jember,Bangsalsari,0.0625,7727,Indonesia,Jawa Timur,7727,Curah Kalong,-8.124999999999943,IDN,113.37500000000011
7.563297291987582E-6,28,1,Village,92,Bondowoso,Grujugan,0.0625,7728,Indonesia,Jawa Timur,7728,Sumberpandan,-8.124999999999943,IDN,113.62500000000011
6.8045243750561005E-6,29,1,Village,15,Tasikmalaya,Cikalong,0.0625,7874,Indonesia,Jawa Barat,7874,Cikadu,-7.874999999999943,IDN,108.12500000000004
6.151383597777776E-6,30,1,Village,18,Ciamis,Cijulang,0.0625,7875,Indonesia,Jawa Barat,7875,Batukaras,-7.874999999999943,IDN,108.37500000000004
3.5711269669852435E-6,31,1,Village,2,Ciamis,Cijulang,0.0625,7876,Indonesia,Jawa Barat,7876,Batukaras,-7.874999999999943,IDN,108.62500000000004
1.0592595813499564E-5,32,1,Village,1,Cilacap,Cilacap Selatan,0.0625,7877,Indonesia,Jawa Tengah,7877,Tambakreja,-7.874999999999943,IDN,108.87500000000004
1.209330708441037E-5,33,1,Village,2,Cilacap,Cilacap Selatan,0.0625,7878,Indonesia,Jawa Tengah,7878,Cilacap,-7.874999999999943,IDN,109.12500000000004
1.1633918231103466E-5,34,1,Village,9,Kebumen,Ayah,0.0625,7879,Indonesia,Jawa Tengah,7879,Argopeni,-7.874999999999943,IDN,109.37500000000004
1.11544947159789E-5,35,1,Village,54,Kebumen,Ambal,0.0625,7880,Indonesia,Jawa Tengah,7880,Ambalkebrek,-7.874999999999943,IDN,109.62500000000004
7.761073995773165E-6,36,1,Village,215,Kebumen,Ambal,0.0625,7881,Indonesia,Jawa Tengah,7881,Ambarwinangun,-7.874999999999943,IDN,109.87500000000004
9.157279899152215E-6,37,1,Village,145,Purworejo,Bagelen,0.0625,7882,Indonesia,Jawa Tengah,7882,Bagelen,-7.874999999999943,IDN,110.12500000000004
1.1908812692391709E-5,38,1,Village,182,Klaten,Prambanan,0.0625,7883,Indonesia,Jawa Tengah,7883,Kebon Dalem Kidul,-7.874999999999943,IDN,110.37500000000004
8.002639695641861E-6,39,1,Village,197,Klaten,Bayat,0.0625,7884,Indonesia,Jawa Tengah,7884,Banyuripan,-7.874999999999943,IDN,110.62500000000004
1.1622084460596869E-5,40,1,Village,139,Karanganyar,Jatipuro,0.0625,7885,Indonesia,Jawa Tengah,7885,Jatipuro,-7.874999999999943,IDN,110.87500000000004
8.804410429277687E-6,41,1,Village,171,Karanganyar,Jatipuro,0.0625,7886,Indonesia,Jawa Tengah,7886,Jatipuro,-7.874999999999943,IDN,111.12500000000004
1.4962362720103456E-5,42,1,Village,259,Wonogiri,Bulukerto,0.0625,7887,Indonesia,Jawa Tengah,7887,Bulukerto,-7.874999999999943,IDN,111.37500000000004
9.887280294658052E-6,43,1,Village,160,Madiun,Dagangan,0.0625,7888,Indonesia,Jawa Timur,7888,Hutan,-7.874999999999943,IDN,111.62500000000004
6.7266523097929414E-6,44,1.000000000000114,Village,155,Blitar,Udanawu,0.062500000000014,7889,Indonesia,Jawa Timur,7889,Besuki,-7.874999999999943,IDN,111.87500000000009
2.6847441708135477E-5,45,1,Village,231,Blitar,Nglegok,0.0625,7890,Indonesia,Jawa Timur,7890,Hutan Sumber Asri,-7.874999999999943,IDN,112.12500000000011
1.5135890008557428E-5,46,1,Urban Community,85,Batu,Batu,0.0625,7891,Indonesia,Jawa Timur,7891,Hutan,-7.874999999999943,IDN,112.37500000000011
1.9500430313684035E-5,47,1,Urban Community,186,Batu,Batu,0.0625,7892,Indonesia,Jawa Timur,7892,Hutan,-7.874999999999943,IDN,112.62500000000011
