first,system:index,SHAPE_Length,ENGTYPE_4,Join_Count,NAME_2,NAME_3,SHAPE_Area,TARGET_FID,NAME_0,NAME_1,OID_,NAME_4,Centroid_Y,GID_0,Centroid_X
2.6147729650677144E-5,36,1,Village,215,Kebumen,Ambal,0.0625,7881,Indonesia,Jawa Tengah,7881,Ambarwinangun,-7.874999999999943,IDN,109.87500000000004
2.5909486181807607E-5,37,1,Village,145,Purworejo,Bagelen,0.0625,7882,Indonesia,Jawa Tengah,7882,Bagelen,-7.874999999999943,IDN,110.12500000000004
3.0057801698097336E-5,38,1,Village,182,Klaten,Prambanan,0.0625,7883,Indonesia,Jawa Tengah,7883,Kebon Dalem Kidul,-7.874999999999943,IDN,110.37500000000004
2.3780439868480838E-5,39,1,Village,197,Klaten,Bayat,0.0625,7884,Indonesia,Jawa Tengah,7884,Banyuripan,-7.874999999999943,IDN,110.62500000000004
1.930246308275949E-5,40,1,Village,139,Karanganyar,Jatipuro,0.0625,7885,Indonesia,Jawa Tengah,7885,Jatipuro,-7.874999999999943,IDN,110.87500000000004
1.8168035629108465E-5,41,1,Village,171,Karanganyar,Jatipuro,0.0625,7886,Indonesia,Jawa Tengah,7886,Jatipuro,-7.874999999999943,IDN,111.12500000000004
1.7792418877119065E-5,42,1,Village,259,Wonogiri,Bulukerto,0.0625,7887,Indonesia,Jawa Tengah,7887,Bulukerto,-7.874999999999943,IDN,111.37500000000004
1.3153506266548836E-5,43,1,Village,160,Madiun,Dagangan,0.0625,7888,Indonesia,Jawa Timur,7888,Hutan,-7.874999999999943,IDN,111.62500000000004
3.043422762256268E-5,44,1.000000000000114,Village,155,Blitar,Udanawu,0.062500000000014,7889,Indonesia,Jawa Timur,7889,Besuki,-7.874999999999943,IDN,111.87500000000009
2.4229008063176847E-5,45,1,Village,231,Blitar,Nglegok,0.0625,7890,Indonesia,Jawa Timur,7890,Hutan Sumber Asri,-7.874999999999943,IDN,112.12500000000011
,46,1,Urban Community,85,Batu,Batu,0.0625,7891,Indonesia,Jawa Timur,7891,Hutan,-7.874999999999943,IDN,112.37500000000011
2.306547206916047E-5,47,1,Urban Community,186,Batu,Batu,0.0625,7892,Indonesia,Jawa Timur,7892,Hutan,-7.874999999999943,IDN,112.62500000000011
2.8683262839933872E-5,48,1,Village,120,Lumajang,Senduro,0.0625,7893,Indonesia,Jawa Timur,7893,Argosari,-7.874999999999943,IDN,112.87500000000011
3.5395160220837624E-5,49,1,Urban Community,166,Kota Probolinggo,Kademangan,0.0625,7894,Indonesia,Jawa Timur,7894,Kademangan,-7.874999999999943,IDN,113.12500000000011
,50,1,Village,205,Jember,Sumber Baru,0.0625,7895,Indonesia,Jawa Timur,7895,Jambesari,-7.874999999999943,IDN,113.37500000000011
,51,1,Village,117,Bondowoso,Binakal,0.0625,7896,Indonesia,Jawa Timur,7896,Gadingsari,-7.874999999999943,IDN,113.62500000000011
