pearson,p,lon,lat,Country,pattern
-0.264870408,0.113,101.875,12.875,Thailand,intensifying hot spot
-0.193784173,0.237,101.875,13.125,Thailand,intensifying hot spot
-0.18325098,0.271,101.875,13.375,Thailand,intensifying hot spot
-0.143222946,0.384,101.875,13.625,Thailand,intensifying hot spot
-0.383160759,0.018,101.875,13.875,Thailand,intensifying hot spot
-0.223983905,0.176,101.875,14.125,Thailand,intensifying hot spot
-0.070886295,0.677,101.875,14.375,Thailand,intensifying hot spot
-0.350266412,0.029,101.875,14.625,Thailand,intensifying hot spot
-0.343698527,0.032,101.875,14.875,Thailand,intensifying hot spot
-0.180433823,0.272,101.875,15.125,Thailand,intensifying hot spot
-0.071158321,0.667,101.875,15.375,Thailand,intensifying hot spot
-0.165309763,0.315,101.875,15.625,Thailand,intensifying hot spot
-0.577128743,0,101.875,2.375,Malaysia,intensifying hot spot
-0.206998554,0.206,101.875,2.625,Malaysia,intensifying hot spot
0.203815538,0.213,101.875,2.875,Malaysia,intensifying hot spot
0.03470952,0.841,102.125,12.875,Thailand,intensifying hot spot
-0.309146138,0.055,102.125,13.125,Thailand,intensifying hot spot
-0.167139492,0.309,102.125,13.375,Thailand,intensifying hot spot
-0.130592901,0.435,102.125,13.625,Thailand,intensifying hot spot
-0.15457164,0.354,102.125,13.875,Thailand,intensifying hot spot
0.006372942,0.97,102.125,14.125,Thailand,intensifying hot spot
0.373922461,0.021,102.125,14.375,Thailand,intensifying hot spot
-0.106506861,0.519,102.125,14.625,Thailand,intensifying hot spot
-0.28248068,0.081,102.125,14.875,Thailand,intensifying hot spot
-0.340958737,0.034,102.125,15.125,Thailand,intensifying hot spot
-0.256012597,0.116,102.125,15.375,Thailand,intensifying hot spot
-0.634797445,0,102.125,2.125,Malaysia,intensifying hot spot
-0.325656494,0.043,102.125,2.375,Malaysia,intensifying hot spot
0.034920874,0.833,102.125,2.625,Malaysia,intensifying hot spot
-0.442589047,0.005,102.375,1.375,Indonesia,intensifying hot spot
-0.270114132,0.101,102.375,13.625,Cambodia,intensifying hot spot
-0.179822505,0.28,102.375,13.875,Thailand,intensifying hot spot
-0.036094568,0.83,102.375,14.125,Thailand,intensifying hot spot
-0.250128618,0.125,102.375,14.375,Thailand,intensifying hot spot
-0.41655737,0.008,102.375,14.625,Thailand,intensifying hot spot
-0.361505263,0.024,102.375,14.875,Thailand,intensifying hot spot
-0.335682539,0.039,102.375,15.125,Thailand,intensifying hot spot
-0.273676409,0.096,102.375,15.375,Thailand,intensifying hot spot
-0.224963049,0.174,102.375,15.625,Thailand,intensifying hot spot
-0.234953263,0.15,102.375,16.125,Thailand,intensifying hot spot
-0.57327022,0,102.375,2.125,Malaysia,intensifying hot spot
-0.043086834,0.795,102.625,1.125,Indonesia,intensifying hot spot
0.038750481,0.817,102.625,13.625,Cambodia,intensifying hot spot
0.070187502,0.675,102.625,14.125,Thailand,intensifying hot spot
-0.32378467,0.044,102.625,14.375,Thailand,intensifying hot spot
-0.385353062,0.015,102.625,14.625,Thailand,intensifying hot spot
-0.329429564,0.046,102.625,14.875,Thailand,intensifying hot spot
-0.303489406,0.068,102.625,15.125,Thailand,intensifying hot spot
-0.134003217,0.416,102.625,15.375,Thailand,intensifying hot spot
-0.180124687,0.286,102.625,15.625,Thailand,intensifying hot spot
-0.311459003,0.061,102.625,15.875,Thailand,intensifying hot spot
-0.251950598,0.127,102.625,16.125,Thailand,intensifying hot spot
-0.365480605,0.024,102.625,16.375,Thailand,intensifying hot spot
-0.27971216,0.094,102.875,14.875,Thailand,intensifying hot spot
-0.14847614,0.38,102.875,15.125,Thailand,intensifying hot spot
-0.3458491,0.031,102.875,15.375,Thailand,intensifying hot spot
-0.222491978,0.173,102.875,15.625,Thailand,intensifying hot spot
-0.27416719,0.096,102.875,15.875,Thailand,intensifying hot spot
-0.278602738,0.09,102.875,16.125,Thailand,intensifying hot spot
-0.49110975,0.002,102.875,16.375,Thailand,intensifying hot spot
-0.362414722,0.027,102.875,16.625,Thailand,intensifying hot spot
-0.44234176,0.005,103.125,0.875,Indonesia,intensifying hot spot
-0.137161703,0.405,103.125,14.875,Thailand,intensifying hot spot
-0.120422437,0.465,103.125,15.125,Thailand,intensifying hot spot
-0.313230818,0.052,103.125,15.375,Thailand,intensifying hot spot
-0.220677134,0.177,103.125,15.625,Thailand,intensifying hot spot
-0.20290812,0.215,103.125,15.875,Thailand,intensifying hot spot
-0.266651977,0.106,103.125,16.125,Thailand,intensifying hot spot
-0.472954177,0.003,103.125,16.375,Thailand,intensifying hot spot
-0.279084502,0.094,103.125,16.625,Thailand,intensifying hot spot
-0.347498234,0.035,103.125,16.875,Thailand,intensifying hot spot
-0.630742308,0,103.375,0.875,Indonesia,intensifying hot spot
-0.152286481,0.355,103.375,14.875,Thailand,intensifying hot spot
-0.210140351,0.212,103.375,15.125,Thailand,intensifying hot spot
-0.367282259,0.021,103.375,15.375,Thailand,intensifying hot spot
-0.273928666,0.092,103.375,15.625,Thailand,intensifying hot spot
-0.225543797,0.167,103.375,15.875,Thailand,intensifying hot spot
-0.249156016,0.126,103.375,16.125,Thailand,intensifying hot spot
-0.149129347,0.372,103.375,16.375,Thailand,intensifying hot spot
-0.250309216,0.135,103.375,16.625,Thailand,intensifying hot spot
-0.71318884,0,103.625,1.125,Indonesia,intensifying hot spot
-0.209208303,0.201,103.625,15.125,Thailand,intensifying hot spot
-0.17963771,0.274,103.625,15.375,Thailand,intensifying hot spot
-0.11801805,0.474,103.625,15.625,Thailand,intensifying hot spot
-0.136052901,0.415,103.625,15.875,Thailand,intensifying hot spot
-0.146862006,0.372,103.625,16.125,Thailand,intensifying hot spot
-0.169934093,0.308,103.625,16.375,Thailand,intensifying hot spot
-0.540632946,0,103.875,0.875,Indonesia,intensifying hot spot
-0.237140866,0.146,103.875,1.125,Indonesia,intensifying hot spot
-0.197518681,0.228,103.875,15.125,Thailand,intensifying hot spot
-0.376256322,0.018,103.875,15.375,Thailand,intensifying hot spot
-0.238898289,0.143,103.875,15.625,Thailand,intensifying hot spot
-0.113675386,0.497,103.875,15.875,Thailand,intensifying hot spot
