country,date,grid_x,grid_y,n_crisis,difference,baseline,movement_value,grid_lon,grid_lat
BN,2020-10-01,89,96,22071.0,-2896.4000000000005,24967.40000000001,11035.5,114.625,4.375
BN,2020-10-01,90,94,96301.0,-10733.599999999982,107034.59999999998,48150.5,114.875,4.875
BN,2020-10-01,91,95,1352.0,-298.8,1650.8,676.0,115.125,4.625
BN,2020-10-02,89,95,8309.0,-1190.0000000000002,9499.000000000002,4154.5,114.625,4.625
BN,2020-10-02,89,96,22857.0,-2901.599999999999,25758.60000000001,11428.5,114.625,4.375
BN,2020-10-02,90,94,101792.0,-10696.000000000004,112488.00000000007,50896.0,114.875,4.875
BN,2020-10-02,91,95,1608.0,-392.0,2000.0,804.0,115.125,4.625
BN,2020-10-03,89,95,7478.0,-1374.4,8852.399999999996,3739.0,114.625,4.625
BN,2020-10-03,89,96,21270.0,-2833.2000000000003,24103.2,10635.0,114.625,4.375
BN,2020-10-03,90,94,97165.0,-10284.399999999996,107449.39999999998,48582.5,114.875,4.875
BN,2020-10-03,91,95,1595.0,-272.4,1867.4,797.5,115.125,4.625
BN,2020-10-04,89,95,8516.0,-1316.4000000000003,9832.399999999996,4258.0,114.625,4.625
BN,2020-10-04,89,96,22224.0,-2801.5999999999995,25025.6,11112.0,114.625,4.375
BN,2020-10-04,90,94,100756.0,-10925.600000000002,111681.59999999998,50378.0,114.875,4.875
BN,2020-10-04,91,95,1780.0,-391.2000000000001,2171.2,890.0,115.125,4.625
BN,2020-10-05,89,95,7878.0,-1653.6000000000004,9531.6,3939.0,114.625,4.625
BN,2020-10-05,89,96,23082.0,-3297.2,26379.199999999997,11541.0,114.625,4.375
BN,2020-10-05,90,94,98721.0,-16084.400000000009,114805.39999999997,49360.5,114.875,4.875
BN,2020-10-05,91,95,1671.0,-331.2000000000001,2002.2,835.5,115.125,4.625
BN,2020-10-06,89,95,8014.0,-1184.0000000000005,9198.0,4007.0,114.625,4.625
BN,2020-10-06,89,96,23295.0,-2518.4000000000005,25813.399999999998,11647.5,114.625,4.375
BN,2020-10-06,90,94,100894.0,-12159.999999999984,113053.99999999993,50447.0,114.875,4.875
BN,2020-10-06,91,95,1709.0,-188.00000000000003,1897.0,854.5,115.125,4.625
BN,2020-10-07,89,95,7806.0,-1322.5,9128.5,3903.0,114.625,4.625
BN,2020-10-07,89,96,23209.0,-2801.5,26010.5,11604.5,114.625,4.375
BN,2020-10-07,90,94,99235.0,-13290.0,112525.0,49617.5,114.875,4.875
BN,2020-10-07,91,95,1566.0,-241.5,1807.5,783.0,115.125,4.625
BN,2020-10-08,89,95,7874.0,-1015.2,8889.2,3937.0,114.625,4.625
BN,2020-10-08,89,96,22580.0,-2980.4,25560.400000000005,11290.0,114.625,4.375
BN,2020-10-08,90,94,100083.0,-10791.999999999984,110875.00000000004,50041.5,114.875,4.875
BN,2020-10-08,91,95,1509.0,-299.2,1808.2,754.5,115.125,4.625
BN,2020-10-09,89,95,8477.0,-978.4,9455.399999999998,4238.5,114.625,4.625
BN,2020-10-09,89,96,23285.0,-2377.2,25662.200000000004,11642.5,114.625,4.375
BN,2020-10-09,90,94,102517.0,-9275.200000000006,111792.2000000001,51258.5,114.875,4.875
BN,2020-10-09,91,95,1575.0,-365.6,1940.6,787.5,115.125,4.625
BN,2020-10-10,89,95,8084.0,-1112.7999999999995,9196.8,4042.0,114.625,4.625
BN,2020-10-10,89,96,22332.0,-2563.5999999999995,24895.6,11166.0,114.625,4.375
BN,2020-10-10,90,94,100509.0,-10817.599999999991,111326.60000000002,50254.5,114.875,4.875
BN,2020-10-10,91,95,1651.0,-294.8,1945.8,825.5,115.125,4.625
BN,2020-10-11,89,95,8824.0,-1001.5999999999998,9825.599999999997,4412.0,114.625,4.625
BN,2020-10-11,89,96,22355.0,-2724.800000000001,25079.8,11177.5,114.625,4.375
BN,2020-10-11,90,94,100320.0,-10889.600000000008,111209.59999999996,50160.0,114.875,4.875
BN,2020-10-11,91,95,1729.0,-383.2000000000001,2112.2,864.5,115.125,4.625
BN,2020-10-12,89,95,8198.0,-1412.0,9609.999999999998,4099.0,114.625,4.625
BN,2020-10-12,89,96,22927.0,-3458.4000000000005,26385.4,11463.5,114.625,4.375
BN,2020-10-12,90,94,100206.0,-14280.400000000009,114486.39999999997,50103.0,114.875,4.875
BN,2020-10-12,91,95,1619.0,-316.40000000000003,1935.4,809.5,115.125,4.625
BN,2020-10-13,89,95,7952.0,-1249.2,9201.2,3976.0,114.625,4.625
BN,2020-10-13,89,96,23192.0,-2713.2000000000003,25905.199999999997,11596.0,114.625,4.375
BN,2020-10-13,90,94,100287.0,-12090.799999999988,112377.8,50143.5,114.875,4.875
BN,2020-10-13,91,95,1623.0,-302.4,1925.4,811.5,115.125,4.625
BN,2020-10-14,89,95,7817.0,-1504.5,9321.5,3908.5,114.625,4.625
BN,2020-10-14,89,96,23034.0,-3161.5,26195.5,11517.0,114.625,4.375
BN,2020-10-14,90,94,99733.0,-12678.0,112411.0,49866.5,114.875,4.875
