country,date,grid_x,grid_y,n_crisis,difference,baseline,movement_value,grid_lon,grid_lat
BN,2020-12-01,89,96,21297.0,-3633.2000000000016,24930.2,10648.5,114.625,4.375
BN,2020-12-01,90,94,90353.0,-14904.399999999989,105257.39999999997,45176.5,114.875,4.875
BN,2020-12-01,91,95,1374.0,-267.20000000000005,1641.1999999999998,687.0,115.125,4.625
BN,2020-12-02,89,95,6326.0,-1431.0,7757.0,3163.0,114.625,4.625
BN,2020-12-02,89,96,19700.0,-3764.5,23464.5,9850.0,114.625,4.375
BN,2020-12-02,90,94,82754.0,-15429.0,98183.0,41377.0,114.875,4.875
BN,2020-12-02,91,95,1056.0,-419.5,1475.5,528.0,115.125,4.625
BN,2020-12-03,89,95,7037.0,-1090.4000000000003,8127.4,3518.5,114.625,4.625
BN,2020-12-03,89,96,20572.0,-3847.999999999999,24420.000000000007,10286.0,114.625,4.375
BN,2020-12-03,90,94,89915.0,-13603.599999999988,103518.60000000003,44957.5,114.875,4.875
BN,2020-12-03,91,95,1408.0,-342.80000000000007,1750.8,704.0,115.125,4.625
BN,2020-12-04,89,95,6638.0,-1351.9999999999998,7990.000000000001,3319.0,114.625,4.625
BN,2020-12-04,89,96,18480.0,-3992.399999999999,22472.40000000001,9240.0,114.625,4.375
BN,2020-12-04,90,94,82774.0,-13847.600000000006,96621.60000000012,41387.0,114.875,4.875
BN,2020-12-04,91,95,1064.0,-427.6,1491.5999999999997,532.0,115.125,4.625
BN,2020-12-05,89,95,6975.0,-1516.4000000000003,8491.399999999998,3487.5,114.625,4.625
BN,2020-12-05,89,96,19687.0,-4032.0,23719.000000000004,9843.5,114.625,4.375
BN,2020-12-05,90,94,90333.0,-14081.2,104414.2,45166.5,114.875,4.875
BN,2020-12-05,91,95,1573.0,-325.2,1898.2,786.5,115.125,4.625
BN,2020-12-06,89,95,7126.0,-1600.4000000000008,8726.399999999998,3563.0,114.625,4.625
BN,2020-12-06,89,96,18424.0,-4347.2,22771.2,9212.0,114.625,4.375
BN,2020-12-06,90,94,82472.0,-15406.800000000005,97878.79999999994,41236.0,114.875,4.875
BN,2020-12-06,91,95,1376.0,-385.20000000000016,1761.2,688.0,115.125,4.625
BN,2020-12-07,89,95,7179.0,-1915.2000000000005,9094.2,3589.5,114.625,4.625
BN,2020-12-07,89,96,20306.0,-4857.6,25163.6,10153.0,114.625,4.375
