lon,lat,Code,Country
116.125,-0.875,IDN,Indonesia
105.125,13.125,KHM,Cambodia
133.625,-0.875,IDN,Indonesia
105.875,11.875,KHM,Cambodia
94.875,19.375,MMR,Myanmar
127.125,-0.375,IDN,Indonesia
92.375,20.875,MMR,Myanmar
137.125,-3.375,IDN,Indonesia
121.875,16.625,PHL,Philippines
123.625,12.125,PHL,Philippines
116.375,-2.625,IDN,Indonesia
117.875,1.375,IDN,Indonesia
117.125,0.625,IDN,Indonesia
98.625,18.625,THA,Thailand
94.125,20.875,MMR,Myanmar
109.375,0.625,IDN,Indonesia
105.125,17.125,LAO,Laos
105.625,11.125,KHM,Cambodia
118.125,5.625,MYS,Malaysia
116.375,4.125,IDN,Indonesia
119.375,-9.625,IDN,Indonesia
104.125,1.375,MYS,Malaysia
116.125,-3.625,IDN,Indonesia
136.875,-2.625,IDN,Indonesia
102.375,0.375,IDN,Indonesia
121.125,15.625,PHL,Philippines
99.375,16.125,THA,Thailand
107.875,-6.375,IDN,Indonesia
101.875,19.875,LAO,Laos
111.875,1.375,MYS,Malaysia
96.375,4.125,IDN,Indonesia
103.125,19.875,LAO,Laos
104.125,14.375,THA,Thailand
98.625,19.125,THA,Thailand
95.625,23.125,MMR,Myanmar
104.125,21.875,VNM,Vietnam
96.375,24.625,MMR,Myanmar
120.125,-4.375,IDN,Indonesia
103.625,0.125,IDN,Indonesia
98.625,23.375,MMR,Myanmar
105.375,18.375,VNM,Vietnam
102.125,17.625,THA,Thailand
101.625,17.875,THA,Thailand
101.125,20.875,LAO,Laos
102.375,19.625,LAO,Laos
105.375,10.375,VNM,Vietnam
121.375,13.875,PHL,Philippines
102.875,-3.625,IDN,Indonesia
116.875,-0.375,IDN,Indonesia
95.625,26.375,MMR,Myanmar
103.625,19.625,LAO,Laos
93.125,21.125,MMR,Myanmar
99.125,12.375,MMR,Myanmar
96.625,4.125,IDN,Indonesia
102.125,17.875,THA,Thailand
137.125,-2.375,IDN,Indonesia
95.125,20.375,MMR,Myanmar
100.875,13.875,THA,Thailand
116.375,1.125,IDN,Indonesia
104.875,14.875,THA,Thailand
103.625,20.875,VNM,Vietnam
139.875,-3.875,IDN,Indonesia
138.125,-7.875,IDN,Indonesia
122.625,11.375,PHL,Philippines
124.875,12.375,PHL,Philippines
110.125,-1.625,IDN,Indonesia
95.625,25.125,MMR,Myanmar
110.125,0.625,IDN,Indonesia
97.125,22.875,MMR,Myanmar
103.375,20.375,LAO,Laos
98.875,17.625,THA,Thailand
110.125,1.125,IDN,Indonesia
134.375,-3.125,IDN,Indonesia
105.125,12.875,KHM,Cambodia
105.125,21.625,VNM,Vietnam
139.125,-7.375,IDN,Indonesia
140.875,-7.125,IDN,Indonesia
111.625,-8.125,IDN,Indonesia
97.125,4.625,IDN,Indonesia
111.625,0.125,IDN,Indonesia
94.625,19.375,MMR,Myanmar
126.625,-7.625,IDN,Indonesia
121.875,-8.625,IDN,Indonesia
110.375,-2.625,IDN,Indonesia
96.875,18.625,MMR,Myanmar
97.625,18.125,MMR,Myanmar
101.125,-1.375,IDN,Indonesia
102.375,16.625,THA,Thailand
113.875,2.125,MYS,Malaysia
98.375,27.125,MMR,Myanmar
98.625,9.125,THA,Thailand
99.625,19.375,THA,Thailand
100.625,13.625,THA,Thailand
137.875,-4.875,IDN,Indonesia
99.875,12.375,THA,Thailand
101.125,6.375,THA,Thailand
100.625,6.375,MYS,Malaysia
123.125,8.375,PHL,Philippines
139.375,-3.625,IDN,Indonesia
115.125,2.375,IDN,Indonesia
99.875,1.125,IDN,Indonesia
103.375,3.625,MYS,Malaysia
105.625,12.125,KHM,Cambodia
109.125,14.125,VNM,Vietnam
124.375,13.875,PHL,Philippines
103.375,22.375,VNM,Vietnam
96.125,17.125,MMR,Myanmar
96.875,20.625,MMR,Myanmar
94.875,19.125,MMR,Myanmar
99.375,18.375,THA,Thailand
108.875,13.875,VNM,Vietnam
139.125,-3.375,IDN,Indonesia
114.125,2.375,MYS,Malaysia
95.375,18.875,MMR,Myanmar
138.125,-3.875,IDN,Indonesia
116.125,5.875,MYS,Malaysia
106.875,-7.125,IDN,Indonesia
108.125,-7.375,IDN,Indonesia
102.125,-2.375,IDN,Indonesia
114.125,0.125,IDN,Indonesia
115.875,-0.375,IDN,Indonesia
102.625,16.125,THA,Thailand
124.125,-10.125,IDN,Indonesia
98.875,23.625,MMR,Myanmar
103.375,22.125,VNM,Vietnam
124.875,8.625,PHL,Philippines
100.375,7.375,THA,Thailand
110.625,0.375,IDN,Indonesia
140.125,-4.125,IDN,Indonesia
106.375,-6.625,IDN,Indonesia
139.125,-3.875,IDN,Indonesia
102.125,1.125,IDN,Indonesia
107.625,11.625,VNM,Vietnam
116.625,3.875,IDN,Indonesia
102.625,0.125,IDN,Indonesia
102.875,4.625,MYS,Malaysia
96.875,22.125,MMR,Myanmar
93.625,21.125,MMR,Myanmar
133.375,-0.875,IDN,Indonesia
99.625,1.875,IDN,Indonesia
105.875,9.875,VNM,Vietnam
122.125,0.875,IDN,Indonesia
103.875,1.875,MYS,Malaysia
98.125,27.625,MMR,Myanmar
99.125,15.875,THA,Thailand
101.125,21.125,LAO,Laos
120.625,-8.625,IDN,Indonesia
112.625,-7.375,IDN,Indonesia
122.625,0.625,IDN,Indonesia
96.375,21.625,MMR,Myanmar
116.375,-8.875,IDN,Indonesia
110.625,0.625,IDN,Indonesia
103.125,19.625,LAO,Laos
133.875,-2.125,IDN,Indonesia
130.125,-3.125,IDN,Indonesia
102.375,-3.375,IDN,Indonesia
105.625,10.625,VNM,Vietnam
96.625,16.625,MMR,Myanmar
114.875,0.375,IDN,Indonesia
104.375,16.125,THA,Thailand
103.625,12.125,KHM,Cambodia
120.375,16.625,PHL,Philippines
101.625,15.125,THA,Thailand
92.875,20.875,MMR,Myanmar
112.875,0.625,IDN,Indonesia
107.625,-6.375,IDN,Indonesia
114.375,-3.125,IDN,Indonesia
98.875,12.625,MMR,Myanmar
116.375,6.125,MYS,Malaysia
100.625,17.875,THA,Thailand
96.125,21.125,MMR,Myanmar
97.875,21.625,MMR,Myanmar
138.875,-5.125,IDN,Indonesia
102.875,13.625,KHM,Cambodia
94.375,18.625,MMR,Myanmar
109.375,0.875,IDN,Indonesia
119.625,-3.375,IDN,Indonesia
104.875,22.625,VNM,Vietnam
132.125,-0.625,IDN,Indonesia
98.125,23.875,MMR,Myanmar
102.625,13.125,KHM,Cambodia
99.625,2.375,IDN,Indonesia
121.375,-3.375,IDN,Indonesia
115.125,4.875,BRN,Brunei
