first,system:index,Country,lon,Code,lat
8.939922705615502E-6,0,Indonesia,138.625,IDN,-4.375
9.096964558215676E-6,1,Indonesia,103.875,IDN,-4.375
1.624586243765128E-5,2,Vietnam,104.625,VNM,22.625
9.10516953117383E-6,3,Indonesia,99.625,IDN,0.875
5.921543402064657E-6,4,Indonesia,115.875,IDN,-0.125
4.1536385927282626E-6,5,Indonesia,110.375,IDN,0.875
3.500221874550143E-5,6,Myanmar,98.125,MMR,20.375
1.6618855688379097E-5,7,Laos,105.625,LAO,17.625
1.721802636218623E-5,8,Vietnam,107.625,VNM,12.625
2.32547205329752E-6,9,Indonesia,137.125,IDN,-3.625
3.38439942436114E-5,10,Thailand,101.375,THA,12.875
8.030722744406724E-6,11,Indonesia,120.125,IDN,-3.125
1.3320890635876659E-5,12,Indonesia,115.625,IDN,-2.125
1.791640573831459E-5,13,Laos,101.375,LAO,21.125
1.1573242772727549E-5,14,Myanmar,99.125,MMR,11.625
2.516042798737512E-5,15,Thailand,102.375,THA,14.375
1.9679632230992883E-5,16,Laos,100.625,LAO,19.875
1.0613993742375236E-5,17,Indonesia,109.875,IDN,-7.375
2.9711072802120666E-5,18,Myanmar,95.875,MMR,19.375
1.5859109415502183E-5,19,Myanmar,98.375,MMR,23.125
1.852708231505738E-5,20,Myanmar,96.625,MMR,19.875
1.719087872022307E-5,21,Indonesia,113.125,IDN,-7.875
1.2648335971072067E-5,22,Myanmar,96.625,MMR,24.875
2.956206479576083E-5,23,Thailand,102.875,THA,17.125
7.39866449433677E-6,24,Malaysia,109.625,MYS,1.875
1.810281101499066E-5,25,Thailand,97.875,THA,17.625
1.529999131470933E-5,26,Vietnam,108.875,VNM,15.125
3.96579294366641E-6,27,Indonesia,114.875,IDN,1.625
5.8743503205398076E-6,28,Indonesia,137.375,IDN,-3.125
5.036147366480305E-6,29,Indonesia,140.875,IDN,-2.875
2.107098534200211E-5,30,Laos,105.625,LAO,16.875
7.033297867605389E-6,31,Philippines,122.875,PHL,14.125
6.0073603319665295E-6,32,Indonesia,112.875,IDN,1.375
1.837344979826671E-5,33,Vietnam,106.375,VNM,22.625
