first,system:index,lat,lon
1.3869013108372313E-4,0,31.875,119.875
6.731798930559307E-5,1,31.625,119.875
5.744144217206938E-5,2,31.375,119.875
4.486797064689077E-5,3,31.125,119.875
9.011845052552033E-5,4,30.875,119.875
,5,30.625,119.875
,6,30.375,119.875
,7,30.125,119.875
,8,29.875,119.875
,9,29.625,119.875
,10,29.375,119.875
,11,29.125,119.875
,12,28.875,119.875
,13,28.625,119.875
,14,28.375,119.875
,15,28.125,119.875
,16,27.875,119.875
,17,27.625,119.875
,18,27.375,119.875
,19,27.125,119.875
,20,26.875,119.875
,21,26.625,119.875
,22,26.375,119.875
,23,26.125,119.875
,24,25.875,119.875
,25,25.625,119.875
,26,25.375,119.875
,27,25.125,119.875
,28,24.875,119.875
,29,24.625,119.875
,30,24.375,119.875
,31,24.125,119.875
,32,23.875,119.875
2.68916101049399E-5,33,23.625,119.875
3.807429223476437E-5,34,23.375,119.875
4.9000665721565654E-5,35,23.125,119.875
4.258389536182138E-5,36,22.875,119.875
4.046715068578277E-5,37,22.625,119.875
3.855940888775004E-5,38,22.375,119.875
3.160129476679614E-5,39,22.125,119.875
2.5332658911794685E-5,40,21.875,119.875
2.4523441640121936E-5,41,21.625,119.875
2.4486425693855287E-5,42,21.375,119.875
2.6452247425584277E-5,43,21.125,119.875
1.9659850884047468E-5,44,20.875,119.875
2.039147994650747E-5,45,20.625,119.875
2.0672885568311E-5,46,20.375,119.875
1.8006510074382512E-5,47,20.125,119.875
1.5481194346757315E-5,48,19.875,119.875
1.565420395174521E-5,49,19.625,119.875
1.5098830348508969E-5,50,19.375,119.875
1.580105857121396E-5,51,19.125,119.875
1.5883441922027865E-5,52,18.875,119.875
1.3487601534000138E-5,53,18.625,119.875
1.626938063975057E-5,54,18.375,119.875
1.9982754560056527E-5,55,18.125,119.875
1.8338496656368422E-5,56,17.875,119.875
1.6795227964217393E-5,57,17.625,119.875
1.6919924902106517E-5,58,17.375,119.875
1.6512498014967732E-5,59,17.125,119.875
1.785231553268239E-5,60,16.875,119.875
2.4254629003816035E-5,61,16.625,119.875
2.6477320901575844E-5,62,16.375,119.875
1.9494321341513542E-5,63,16.125,119.875
2.547512040823813E-5,64,15.875,119.875
2.6946051471898815E-5,65,15.625,119.875
2.4912727828863416E-5,66,15.375,119.875
2.231887540096447E-5,67,15.125,119.875
2.1479225801362196E-5,68,14.875,119.875
2.1097006328982773E-5,69,14.625,119.875
1.5320049410862502E-5,70,14.375,119.875
1.5332992285376617E-5,71,14.125,119.875
1.2305427550333856E-5,72,13.875,119.875
1.20309061739628E-5,73,13.625,119.875
1.1275395949722199E-5,74,13.375,119.875
5.515860404516923E-6,75,13.125,119.875
9.983039134934918E-6,76,12.875,119.875
,77,12.625,119.875
,78,12.375,119.875
,79,12.125,119.875
8.102037952901685E-6,80,11.875,119.875
1.0113594188522596E-5,81,11.625,119.875
7.558782570505543E-6,82,11.375,119.875
7.224499702525185E-6,83,11.125,119.875
7.165810968161743E-6,84,10.875,119.875
1.2531598259928853E-5,85,10.625,119.875
1.417062847640518E-5,86,10.375,119.875
9.395881099545979E-6,87,10.125,119.875
1.0995282878182855E-5,88,9.875,119.875
8.456186759391574E-6,89,9.625,119.875
,90,9.375,119.875
4.979839275382738E-6,91,9.125,119.875
4.084731686549941E-6,92,8.875,119.875
1.015697925213276E-5,93,8.625,119.875
3.717191582625961E-6,94,8.375,119.875
3.149483795799055E-6,95,8.125,119.875
4.445681831615451E-6,96,7.875,119.875
2.153875391619066E-6,97,7.625,119.875
4.0817244328528715E-6,98,7.375,119.875
-2.4133077124316918E-8,99,7.125,119.875
